year;season;jp_title;img;Japanese;Episodes;Starting;Ending;Producers;Studios;Source;Age Rating;Rating Score;Rating Score Num;Reviewers;Rating Score Rank;Popularity Rank;Members;Favorites
2024;spring;The Fable;https://cdn.myanimelist.net/images/anime/1254/141155.jpg;ザ・ファブル;25;7 Apr 2024;29 Sep 2024;VAP, Kodansha, Nippon Television Network, Audio Planning U;Tezuka Productions;Manga;R - 17+ (violence & profanity);8.101;8.101;2654326543;"5232

2
 ";2614;76518;554
2024;summer;The Fable;https://cdn.myanimelist.net/images/anime/1254/141155.jpg;ザ・ファブル;25;7 Apr 2024;29 Sep 2024;VAP, Kodansha, Nippon Television Network, Audio Planning U;Tezuka Productions;Manga;R - 17+ (violence & profanity);8.101;8.101;2654326543;"5232

2
 ";2614;76518;554
2022;fall;Fumetsu no Anata e Season 2;https://cdn.myanimelist.net/images/anime/1271/127700.jpg;不滅のあなたへ Season2;20;23 Oct 2022;12 Mar 2023;NHK, Kodansha, NHK Enterprises;Drive;Manga;R - 17+ (violence & profanity);8.091;8.091;113327113327;"5372

2
 ";875;301816;1632
2023;winter;Tsurune: Tsunagari no Issha;https://cdn.myanimelist.net/images/anime/1803/132337.jpg;ツルネ ―つながりの一射―;13;5 Jan 2023;30 Mar 2023;Lantis, Pony Canyon, Rakuonsha, ABC Animation, Heart Company, Bandai Namco Music Live;Kyoto Animation;Light novel;PG-13 - Teens 13 or older;8.091;8.091;1872218722;"5422

2
 ";2966;61826;455
2023;winter;Fumetsu no Anata e Season 2;https://cdn.myanimelist.net/images/anime/1271/127700.jpg;不滅のあなたへ Season2;20;23 Oct 2022;12 Mar 2023;NHK, Kodansha, NHK Enterprises;Drive;Manga;R - 17+ (violence & profanity);8.091;8.091;113327113327;"5372

2
 ";875;301816;1632
2023;spring;Jigokuraku;https://cdn.myanimelist.net/images/anime/1075/131925.jpg;地獄楽;13;1 Apr 2023;1 Jul 2023;Twin Engine;MAPPA;Manga;R - 17+ (violence & profanity);8.091;8.091;426563426563;"5302

2
 ";258;794047;8651
2022;summer;Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 2nd Season;https://cdn.myanimelist.net/images/anime/1010/124180.jpg;ようこそ実力至上主義の教室へ 2nd Season;13;4 Jul 2022;26 Sep 2022;Studio Hibari, Movic, AT-X, Sammy, Crunchyroll, Kadokawa Media House, Kadokawa, Bandai Namco Music Live;Lerche;Light novel;PG-13 - Teens 13 or older;8.081;8.081;407758407758;"5472

2
 ";300;713259;8365
2023;fall;Shangri-La Frontier: Kusoge Hunter, Kamige ni Idoman to su;https://cdn.myanimelist.net/images/anime/1500/139931.jpg;シャングリラ・フロンティア～クソゲーハンター、神ゲーに挑まんとす～;25;1 Oct 2023;31 Mar 2024;Dentsu, Mainichi Broadcasting System, Kodansha, flying DOG, Sammy, Crunchyroll, Tencent Japan, Netmarble;C2C;Manga;PG-13 - Teens 13 or older;8.081;8.081;180571180571;"5442

2
 ";694;362047;2936
2024;winter;Shangri-La Frontier: Kusoge Hunter, Kamige ni Idoman to su;https://cdn.myanimelist.net/images/anime/1500/139931.jpg;シャングリラ・フロンティア～クソゲーハンター、神ゲーに挑まんとす～;25;1 Oct 2023;31 Mar 2024;Dentsu, Mainichi Broadcasting System, Kodansha, flying DOG, Sammy, Crunchyroll, Tencent Japan, Netmarble;C2C;Manga;PG-13 - Teens 13 or older;8.081;8.081;180571180571;"5442

2
 ";694;362047;2936
2022;spring;Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 3rd Season;https://cdn.myanimelist.net/images/anime/1976/122302.jpg;本好きの下剋上 ～司書になるためには手段を選んでいられません～ 第3期;10;12 Apr 2022;14 Jun 2022;WOWOW, KlockWorx, flying DOG, BS Fuji, Yomiuri TV Enterprise, TO Books, JTB Next Creation, MediaNet Pictures, Happinet Phantom Studios;Ajia-do;Light novel;PG-13 - Teens 13 or older;8.071;8.071;8404684046;"5662

2
 ";1451;173724;971
2022;summer;Overlord IV;https://cdn.myanimelist.net/images/anime/1530/120110.jpg;オーバーロード IV;13;5 Jul 2022;27 Sep 2022;AT-X, Hakuhodo DY Music & Pictures, NTT Plala, Kadokawa;Madhouse;Light novel;R - 17+ (violence & profanity);8.071;8.071;290845290845;"5742

2
 ";400;580256;7313
2023;spring;Kimi wa Houkago Insomnia;https://cdn.myanimelist.net/images/anime/1402/134007.jpg;君は放課後インソムニア;13;11 Apr 2023;4 Jul 2023;TV Tokyo, Pony Canyon, Ultra Super Pictures, Shogakukan, MAGNET, CHOCOLATE;LIDENFILMS;Manga;PG-13 - Teens 13 or older;8.071;8.071;9221692216;"5722

2
 ";1078;240522;2214
2024;spring;Boku no Hero Academia 7th Season;https://cdn.myanimelist.net/images/anime/1529/140306.jpg;僕のヒーローアカデミア 第7期;21;4 May 2024;12 Oct 2024;Dentsu, Yomiuri Telecasting, Movic, Sony Music Entertainment, TOHO animation, Shueisha;Bones;Manga;PG-13 - Teens 13 or older;8.071;8.071;135065135065;"5582

2
 ";695;361718;2663
2024;summer;Boku no Hero Academia 7th Season;https://cdn.myanimelist.net/images/anime/1529/140306.jpg;僕のヒーローアカデミア 第7期;21;4 May 2024;12 Oct 2024;Dentsu, Yomiuri Telecasting, Movic, Sony Music Entertainment, TOHO animation, Shueisha;Bones;Manga;PG-13 - Teens 13 or older;8.071;8.071;135065135065;"5582

2
 ";695;361718;2663
2021;winter;Uma Musume: Pretty Derby Season 2;https://cdn.myanimelist.net/images/anime/1447/114282.jpg;ウマ娘 プリティーダービー Season 2;13;5 Jan 2021;30 Mar 2021;TOHO animation, Cygames;Studio Kai;Game;PG-13 - Teens 13 or older;8.061;8.061;2534725347;"5902

2
 ";3064;58147;904
2023;fall;Spy x Family Season 2;https://cdn.myanimelist.net/images/anime/1506/138982.jpg;SPY×FAMILY Season 2;12;7 Oct 2023;23 Dec 2023;TV Tokyo, Shogakukan-Shueisha Productions, TOHO animation, Shueisha, Studio Easter;Wit Studio, CloverWorks;Manga;PG-13 - Teens 13 or older;8.061;8.061;264502264502;"5892

2
 ";410;571135;3606
2024;spring;Karasu wa Aruji wo Erabanai;https://cdn.myanimelist.net/images/anime/1084/142685.jpg;烏は主を選ばない;20;6 Apr 2024;21 Sep 2024;NHK, NHK Enterprises;Pierrot;Novel;PG-13 - Teens 13 or older;8.061;8.061;1475614756;"5782

2
 ";3368;48192;433
2024;summer;Karasu wa Aruji wo Erabanai;https://cdn.myanimelist.net/images/anime/1084/142685.jpg;烏は主を選ばない;20;6 Apr 2024;21 Sep 2024;NHK, NHK Enterprises;Pierrot;Novel;PG-13 - Teens 13 or older;8.061;8.061;1475614756;"5782

2
 ";3368;48214;433
2021;winter;World Trigger 2nd Season;https://cdn.myanimelist.net/images/anime/1598/110462.jpg;ワールドトリガー;12;10 Jan 2021;4 Apr 2021;TV Asahi;Toei Animation;Manga;PG-13 - Teens 13 or older;8.051;8.051;6277162771;"5932

2
 ";1546;162666;812
2024;fall;Ranma ½ (2024);https://cdn.myanimelist.net/images/anime/1155/144299.jpg;らんま1/2;12;6 Oct 2024;22 Dec 2024;Shogakukan-Shueisha Productions, Nippon Television Network, Shogakukan, dugout;MAPPA;Manga;PG-13 - Teens 13 or older;8.051;8.051;5269652696;"6042

2
 ";1974;118067;870
2024;summer;NieR:Automata Ver1.1a Part 2;https://cdn.myanimelist.net/images/anime/1364/143539.jpg;NieR;12;5 Jul 2024;27 Sep 2024;Aniplex, Square Enix;A-1 Pictures;Game;R - 17+ (violence & profanity);8.041;8.041;2891228912;"6152

2
 ";2324;92867;456
2021;spring;Mairimashita! Iruma-kun 2nd Season;https://cdn.myanimelist.net/images/anime/1527/113656.jpg;魔入りました！入間くん;21;17 Apr 2021;11 Sep 2021;NHK, NHK Enterprises;Bandai Namco Pictures;Manga;PG-13 - Teens 13 or older;8.031;8.031;171851171851;"6212

2
 ";735;345236;2431
2021;summer;Mairimashita! Iruma-kun 2nd Season;https://cdn.myanimelist.net/images/anime/1527/113656.jpg;魔入りました！入間くん;21;17 Apr 2021;11 Sep 2021;NHK, NHK Enterprises;Bandai Namco Pictures;Manga;PG-13 - Teens 13 or older;8.031;8.031;171851171851;"6212

2
 ";735;345236;2431
2024;fall;Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka V: Houjou no Megami-hen;https://cdn.myanimelist.net/images/anime/1299/144738.jpg;ダンジョンに出会いを求めるのは間違っているだろうかV 豊穣の女神篇;15;5 Oct 2024;5 Mar 2025;Movic, Warner Bros. Japan, KlockWorx, Hakuhodo DY Music & Pictures, Egg Firm, FuRyu, SB Creative, GREE Entertainment;J.C.Staff;Light novel;PG-13 - Teens 13 or older;8.031;8.031;2429424294;"6282

2
 ";1576;158777;865
2021;winter;5-toubun no Hanayome ∬;https://cdn.myanimelist.net/images/anime/1775/109514.jpg;五等分の花嫁∬;12;8 Jan 2021;26 Mar 2021;Pony Canyon, Kodansha, DAX Production, BS11, Nichion, GYAO!, Good Smile Film, MAGNET;Bibury Animation Studios;Manga;PG-13 - Teens 13 or older;8.021;8.021;460373460373;"6432

2
 ";279;758384;11628
2022;spring;Komi-san wa, Comyushou desu. 2nd Season;https://cdn.myanimelist.net/images/anime/1108/121157.jpg;古見さんは、コミュ症です。 2;12;7 Apr 2022;23 Jun 2022;TV Tokyo, Dentsu, Shogakukan-Shueisha Productions, Half H.P Studio, Nippon Columbia;OLM;Manga;PG-13 - Teens 13 or older;8.011;8.011;258331258331;"6572

2
 ";456;517991;3941
2022;summer;Shadows House 2nd Season;https://cdn.myanimelist.net/images/anime/1634/124231.jpg;シャドーハウス 2nd Season;12;9 Jul 2022;24 Sep 2022;Aniplex, WOWOW, Tokyo MX, Shueisha, BS Asahi;CloverWorks;Manga;PG-13 - Teens 13 or older;8.011;8.011;5371553715;"6502

2
 ";1831;129504;703
2024;spring;Yuru Camp△ Season 3;https://cdn.myanimelist.net/images/anime/1178/142710.jpg;ゆるキャン△ SEASON3;12;4 Apr 2024;20 Jun 2024;Sotsu, Half H.P Studio, AT-X, KlockWorx, Houbunsha, MAGES., 81 Produce, BS11, FuRyu, Sony Music Solutions, enish;8bit;Manga;PG-13 - Teens 13 or older;8.011;8.011;3082330823;"6532

2
 ";2365;90249;526
2021;winter;SK∞;https://cdn.myanimelist.net/images/anime/1549/119195.jpg;SK∞ エスケーエイト;12;10 Jan 2021;4 Apr 2021;Aniplex, Movic, ABC Animation;Bones;Original;PG-13 - Teens 13 or older;8.001;8.001;300114300114;"6712

2
 ";392;590843;13450
2024;fall;Rurouni Kenshin: Meiji Kenkaku Romantan - Kyoto Douran;https://cdn.myanimelist.net/images/anime/1314/145530.jpg;るろうに剣心 -明治剣客浪漫譚- 京都動乱;23;4 Oct 2024;21 Mar 2025;Aniplex, Dentsu, Fuji TV, Shueisha;LIDENFILMS;Manga;R - 17+ (violence & profanity);8.001;8.001;71517151;"6602

2
 ";3477;45885;210
