year,season,jp_title,img,Japanese,Episodes,Starting,Ending,Producers,Studios,Main Studio,Source,Age Rating,Rating Score,Reviewers,Rating Score Rank,Popularity Rank,Members,Favorites,Status
2023,fall,Hypnosis Mic: Division Rap Battle - Rhyme Anima +,https://cdn.myanimelist.net/images/anime/1373/135316.jpg,ヒプノシスマイク -Division Rap Battle- Rhyme Anima +（プラス）,13,7 Oct 2023,30 Dec 2023,"Aniplex, Half H.P Studio, Evil Line Records",A-1 Pictures,A-1 Pictures,Mixed media,R - 17+ (violence & profanity),6.85,32663266.0,5117,6241.0,12039,105,Medium
2021,winter,Project Scard: Praeter no Kizu,https://cdn.myanimelist.net/images/anime/1239/111647.jpg,PROJECT SCARD プレイタの傷,13,9 Jan 2021,3 Apr 2021,"Frontier Works, Glovision, Soranone",GoHands,GoHands,Mixed media,PG-13 - Teens 13 or older,5.92,86828682.0,10346,3960.0,35651,145,Medium
2021,summer,Tsukipro The Animation 2,https://cdn.myanimelist.net/images/anime/1651/116291.jpg,TSUKIPRO THE ANIMATION 2,13,7 Jul 2021,29 Dec 2021,AZ Creative,PRA,PRA,Mixed media,PG-13 - Teens 13 or older,6.4,13381338.0,7682,7390.0,7965,49,Medium
2024,spring,Shadowverse Flame: Arc-hen,https://cdn.myanimelist.net/images/anime/1826/140574.jpg,シャドウバースFLAME アーク編,23,13 Apr 2024,28 Sep 2024,TV Tokyo,Zexcs,Zexcs,Card game,PG-13 - Teens 13 or older,6.65,501501.0,6207,11245.0,2431,10,Bad
2021,fall,Mazica Party,https://cdn.myanimelist.net/images/anime/1740/113501.jpg,マジカパーティ,51,4 Apr 2021,27 Mar 2022,"Dentsu, TV Osaka",OLM,OLM,Original,G - All Ages,5.89,263263.0,10490,12206.0,1805,10,Bad
2023,summer,Ikimono-san,https://cdn.myanimelist.net/images/anime/1466/136270.jpg,いきものさん,12,8 Jul 2023,30 Sep 2023,Toei Animation,New Deer,New Deer,Other,G - All Ages,5.9,184184.0,10462,13840.0,1109,7,Bad
2024,fall,Asatir 2: Mirai no Mukashi Banashi,https://cdn.myanimelist.net/images/anime/1717/144671.jpg,アサティール2 未来の昔ばなし,13,3 Nov 2024,2 Feb 2025,"None found, add some","Toei Animation, Manga Productions",Toei Animation,Original,PG - Children,6.48,131131.0,7182,14355.0,969,3,Bad
2023,winter,Flaglia: Natsuyasumi no Monogatari,https://cdn.myanimelist.net/images/anime/1065/129807.jpg,『FLAGLIA』～なつやすみの物語～,6,17 Jan 2023,31 Jan 2023,"None found, add some",Gaina,Gaina,Mixed media,PG-13 - Teens 13 or older,5.16,300300.0,12979,9099.0,4715,34,Bad
2022,winter,On Air Dekinai!,https://cdn.myanimelist.net/images/anime/1021/119155.jpg,オンエアできない!,12,10 Jan 2022,28 Mar 2022,"Pierrot, TV Tokyo, WarRock","Space Neko Company, Jinnan Studio",Space Neko Company,Manga,PG-13 - Teens 13 or older,5.84,232232.0,10718,11074.0,2555,11,Bad
2021,summer,Pretty All Friends Selection,https://cdn.myanimelist.net/images/anime/1968/114657.jpg,プリティーオールフレンズセレクション,16,6 Jun 2021,19 Sep 2021,"None found, add some","None found, add some",None found,Game,PG - Children,6.76,218218.0,5557,11620.0,2176,18,Bad
2021,spring,Seizei Ganbare! Mahou Shoujo Kurumi 3rd Season,https://cdn.myanimelist.net/images/anime/1097/108552.jpg,せいぜいがんばれ！魔法少女くるみ,25,7 Oct 2020,29 Sep 2021,Lantis,Pie in the sky,Pie in the sky,Original,G - All Ages,6.3,153153.0,8271,13185.0,1333,2,Bad
2022,spring,Kidou Senshi Gundam: Tekketsu no Orphans - Tokubetsu-hen,https://cdn.myanimelist.net/images/anime/1957/122576.jpg,機動戦士ガンダム 鉄血のオルフェンズ 特別編,9,5 Apr 2022,31 May 2022,"None found, add some",Sunrise,Sunrise,Original,R - 17+ (violence & profanity),6.6,282282.0,6499,11258.0,2424,13,Bad
2023,fall,Rail Romanesque 2,https://cdn.myanimelist.net/images/anime/1214/137093.jpg,レヱル・ロマネスク2,13,6 Oct 2023,29 Dec 2023,"None found, add some","Yokohama Animation Laboratory, Cloud Hearts",Yokohama Animation Laboratory,Visual novel,PG-13 - Teens 13 or older,5.61,817817.0,11771,7684.0,7235,9,Bad
2021,winter,Tomica Kizuna Gattai: Earth Granner,https://cdn.myanimelist.net/images/anime/1274/114349.jpg,トミカ絆合体 アースグランナー,51,5 Apr 2020,28 Mar 2021,"None found, add some",OLM,OLM,Other,PG - Children,5.91,272272.0,10405,12523.0,1628,2,Bad
2024,summer,Cardfight!! Vanguard: Divinez Season 2,https://cdn.myanimelist.net/images/anime/1235/143504.jpg,カードファイト!! ヴァンガード Divinez Season2,13,6 Jul 2024,12 Oct 2024,Bushiroad,"Kinema Citrus, GIFTanimation, Studio Jemi",Kinema Citrus,Original,PG-13 - Teens 13 or older,7.11,795795.0,3846,11135.0,2501,12,Bad
2023,spring,Bastions,https://cdn.myanimelist.net/images/anime/1850/135882.jpg,베스티언즈,5,14 May 2023,11 Jun 2023,"None found, add some","None found, add some",None found,Original,PG-13 - Teens 13 or older,5.49,126126.0,12123,18143.0,406,1,Bad
2024,spring,Nyaaaanvy,https://cdn.myanimelist.net/images/anime/1857/143301.jpg,ニャンビー,6,25 May 2024,29 Jun 2024,"None found, add some","Shin-Ei Animation, Lesprit",Shin-Ei Animation,Game,G - All Ages,5.69,164164.0,11420,17105.0,490,0,Bad
2022,summer,Nanashi Kaidan,https://cdn.myanimelist.net/images/anime/1770/128061.jpg,ななし怪談,10,8 Aug 2022,19 Aug 2022,"Shogakukan-Shueisha Productions, Tokyo Animator Gakuin","None found, add some",None found,Original,G - All Ages,5.51,269269.0,12067,8696.0,5372,51,Bad
2022,winter,Garugaku. II: Lucky Stars,https://cdn.myanimelist.net/images/anime/1225/120623.jpg,ガル学。II〜Lucky Stars〜,50,10 Jan 2022,18 Mar 2022,"None found, add some",OLM,OLM,Mixed media,PG-13 - Teens 13 or older,5.94,178178.0,10220,12725.0,1521,11,Bad
2021,spring,Dinosaur Biyori,https://cdn.myanimelist.net/images/anime/1382/116139.jpg,ダイナ荘びより,26,4 Apr 2021,26 Sep 2021,"Aniplex, Sony Music Entertainment, Sony Creative Products",Fanworks,Fanworks,Original,G - All Ages,5.97,323323.0,10049,11633.0,2166,16,Bad
2023,fall,Matsuinu,https://cdn.myanimelist.net/images/anime/1792/140446.jpg,まついぬ,12,7 Oct 2023,23 Dec 2023,Avex Pictures,Point Pictures,Point Pictures,Manga,G - All Ages,5.84,140140.0,10713,13562.0,1204,2,Bad
2022,summer,KJ File,https://cdn.myanimelist.net/images/anime/1010/123667.jpg,KJ FILE (KJファイル),13,11 Jul 2022,3 Oct 2022,TV Tokyo,"ILCA, yell",ILCA,Original,PG-13 - Teens 13 or older,4.64,492492.0,13550,7277.0,8337,68,Bad
2021,summer,Dinosaur Biyori,https://cdn.myanimelist.net/images/anime/1382/116139.jpg,ダイナ荘びより,26,4 Apr 2021,26 Sep 2021,"Aniplex, Sony Music Entertainment, Sony Creative Products",Fanworks,Fanworks,Original,G - All Ages,5.97,323323.0,10049,11633.0,2166,16,Bad
2024,fall,Hyakushou Kizoku 2nd Season,https://cdn.myanimelist.net/images/anime/1107/145108.jpg,百姓貴族 2nd Season,12,4 Oct 2024,20 Dec 2024,"None found, add some",Pie in the sky,Pie in the sky,Manga,PG-13 - Teens 13 or older,6.75,704704.0,5610,11711.0,2118,7,Bad
2021,winter,Seizei Ganbare! Mahou Shoujo Kurumi 3rd Season,https://cdn.myanimelist.net/images/anime/1097/108552.jpg,せいぜいがんばれ！魔法少女くるみ,25,7 Oct 2020,29 Sep 2021,Lantis,Pie in the sky,Pie in the sky,Original,G - All Ages,6.3,153153.0,8271,13185.0,1333,2,Bad
2022,winter,Okashi na Sabaku no Suna to Manu,https://cdn.myanimelist.net/images/anime/1208/111257.jpg,おかしなさばくのスナとマヌ,50,14 Feb 2021,2 Feb 2022,CHANCE iN,Kachidoki Studio,Kachidoki Studio,Manga,PG - Children,5.71,227227.0,11323,12330.0,1729,6,Bad
