,Unnamed: 0,jp_title,en_title,char_name,fav,img
1013,46,Snack Basue,,Miki Azuma (東 美樹),Member Favorites: 0,https://cdn.myanimelist.net/images/characters/5/532644.jpg
1014,47,Wonderful Precure!,,Mey Mey  (メエメエ),Member Favorites: 1,https://cdn.myanimelist.net/images/characters/3/538170.jpg
1015,48,Yami Shibai 12,Theatre of Darkness: Yamishibai 12,Storyteller  (紙芝居屋),Member Favorites: 72,https://cdn.myanimelist.net/images/characters/4/259167.jpg
1016,49,Chou Futsuu Ken Chiba Densetsu,,Shino Kamatani (鎌谷 しの),Member Favorites: 0,
1017,50,Cardfight!! Vanguard: Divinez,Cardfight!! Vanguard Divinez,Hikari Myoudou (明導 ヒカリ),Member Favorites: 2,https://cdn.myanimelist.net/images/characters/10/569425.jpg
1018,51,Harimaware! Koinu,Stick It on Around! Koinu,Dog-senpai  (犬々先輩),Member Favorites: 1,https://cdn.myanimelist.net/images/characters/10/531188.jpg
1019,52,Shinobanai! Crypto Ninja Sakuya: Ni no Maki,,,,
1020,53,Enjou Bokumetsu! Mahou Shoujo Aiko,,,,
1021,54,Colorful na Everyday,,,,
1022,55,Xin Xiyou Lixian Ji,,,,
1023,56,Sakuretsu! Amabie-hime. Season 3,,,,
1024,57,Dinoster: Gonglyongsuhodae 2nd Season,Dinoster 2nd Season,,,
1025,58,One Piece,,Jinbe  (ジンベエ),"Member Favorites: 4,179",https://cdn.myanimelist.net/images/characters/15/307148.jpg
1026,59,Sousou no Frieren,Frieren: Beyond Journey's End,Denken  (デンケン),Member Favorites: 186,https://cdn.myanimelist.net/images/characters/6/538686.jpg
1027,60,Kusuriya no Hitorigoto,The Apothecary Diaries,Xiaolan  (小蘭),Member Favorites: 26,https://cdn.myanimelist.net/images/characters/16/574075.jpg
1028,61,"Shangri-La Frontier: Kusoge Hunter, Kamige ni Idoman to su",Shangri-La Frontier,Elke  (エルク),Member Favorites: 6,https://cdn.myanimelist.net/images/characters/10/533457.jpg
1029,62,Meitantei Conan,Case Closed,Shuuichi Akai (赤井 秀一),"Member Favorites: 1,873",https://cdn.myanimelist.net/images/characters/3/208069.jpg
1030,63,Undead Unluck,,Juiz  (ジュイス),Member Favorites: 17,https://cdn.myanimelist.net/images/characters/7/520125.jpg
1031,64,Ragna Crimson,,Nebulim  (ネビュリム),Member Favorites: 5,https://cdn.myanimelist.net/images/characters/11/525602.jpg
1032,65,Crayon Shin-chan,Shin Chan,Ume Matsuzaka (まつざか 梅),Member Favorites: 8,https://cdn.myanimelist.net/images/characters/11/312257.jpg
1033,66,Nanatsu no Taizai: Mokushiroku no Yonkishi,The Seven Deadly Sins: Four Knights of the Apocalypse,Gilthunder  (ギルサンダー),Member Favorites: 208,https://cdn.myanimelist.net/images/characters/12/277509.jpg
1034,67,Buta no Liver wa Kanetsu Shiro,Butareba -The Story of a Man Who Turned into a Pig-,Eavis  (イーヴィス),Member Favorites: 0,https://cdn.myanimelist.net/images/characters/12/531629.jpg
1035,68,Megumi no Daigo: Kyuukoku no Orange,Firefighter Daigo: Rescuer in Orange,Toyomu Altonen (アルトーネン  響),Member Favorites: 0,https://cdn.myanimelist.net/images/characters/7/534521.jpg
1036,69,Captain Tsubasa Season 2: Junior Youth-hen,Captain Tsubasa: Junior Youth Arc,Ryou Ishizaki (石崎 了),Member Favorites: 20,https://cdn.myanimelist.net/images/characters/5/558422.jpg
1037,70,Sazae-san,Mrs. Sazae,Ikura Namino (波野 イクラ),Member Favorites: 0,https://cdn.myanimelist.net/images/characters/12/568770.jpg
1038,71,Dog Signal,,Katou's Father  ,Member Favorites: 0,https://cdn.myanimelist.net/images/characters/14/577032.jpg
1039,72,Chibi Maruko-chan (1995),Little Miss Maruko,Sueo Maruo (丸尾 末男),Member Favorites: 1,https://cdn.myanimelist.net/images/characters/11/369533.jpg
1040,73,Yu☆Gi☆Oh! Go Rush!!,,Dinois Velgear (ディノワ・ベルギャー),Member Favorites: 1,https://cdn.myanimelist.net/images/characters/12/514420.jpg
1041,74,Tousouchuu: Great Mission,Run For Money: The Great Mission,Joyce O'Hara (ジョイス・オハラ),Member Favorites: 0,https://cdn.myanimelist.net/images/characters/13/546242.jpg
1042,75,Chiikawa,,Poshetto no Yoroi-san  (ポシェットの鎧さん),Member Favorites: 2,https://cdn.myanimelist.net/images/characters/12/506123.jpg
1043,76,Bonobono (TV 2016),Bono Bono,Araiguma-kun no Otousan  (アライグマくんのお父さん),Member Favorites: 0,https://cdn.myanimelist.net/images/characters/6/369480.jpg
1044,77,Ninjala (TV),,Burton  (バートン),Member Favorites: 0,https://cdn.myanimelist.net/images/characters/9/537940.jpg
1045,78,Shikaru Neko,,,,
1046,79,Kamiusagi Rope: Warau Asa ni wa Fukuraitaru tte Maji ssuka!?,,Kanako  (夏菜子),Member Favorites: 0,https://cdn.myanimelist.net/images/characters/15/575733.jpg
1047,80,Shiawase Haitatsu Taneko,,,,
1048,81,Manul no Yuube,,,,
1049,82,Saekomdalkom Catch! Tiniping,,Romi  (로미),Member Favorites: 0,https://cdn.myanimelist.net/images/characters/13/559488.jpg
1050,83,Chickip Dancers 3rd Season,,,,
1051,84,Shin Nippon History,,,,
1052,85,Shuwawan!,,,,
1053,86,Youkoso Ninchishou Sekai e,,,,
1054,0,Kimetsu no Yaiba: Hashira Geiko-hen,Demon Slayer: Kimetsu no Yaiba Hashira Training Arc,Muichirou Tokitou (時透 無一郎),"Member Favorites: 3,713",https://cdn.myanimelist.net/images/characters/5/464903.jpg
1055,1,Kaijuu 8-gou,Kaiju No. 8,Isao Shinomiya (四ノ宮 功),Member Favorites: 9,https://cdn.myanimelist.net/images/characters/10/548007.jpg
1056,2,Kono Subarashii Sekai ni Shukufuku wo! 3,KonoSuba: God's Blessing on This Wonderful World! 3,Chris  (クリス),Member Favorites: 232,https://cdn.myanimelist.net/images/characters/15/277949.jpg
1057,3,Mushoku Tensei II: Isekai Ittara Honki Dasu Part 2,Mushoku Tensei: Jobless Reincarnation Season 2 Part 2,Zanoba Shirone (ザノバ・シーローン),Member Favorites: 99,https://cdn.myanimelist.net/images/characters/14/277227.jpg
1058,4,Tensei shitara Slime Datta Ken 3rd Season,That Time I Got Reincarnated as a Slime Season 3,Souei  (ソウエイ),Member Favorites: 592,https://cdn.myanimelist.net/images/characters/6/360791.jpg
1059,5,Boku no Hero Academia 7th Season,My Hero Academia Season 7,Tsuyu Asui (蛙吹 梅雨),"Member Favorites: 4,673",https://cdn.myanimelist.net/images/characters/10/299409.jpg
1060,6,Wind Breaker,,Mitsuki Kiryuu (桐生 三輝),Member Favorites: 32,https://cdn.myanimelist.net/images/characters/10/460919.jpg
1061,7,Ookami to Koushinryou: Merchant Meets the Wise Wolf,Spice and Wolf: Merchant Meets the Wise Wolf,Elsa Schtingheim (エルサ・シュティングハイム),Member Favorites: 3,https://cdn.myanimelist.net/images/characters/3/562994.jpg
1062,8,"Tensei shitara Dainana Ouji Datta node, Kimama ni Majutsu wo Kiwamemasu",I Was Reincarnated as the 7th Prince so I Can Take My Time Perfecting My Magical Ability,Alieze de Saloum (アリーゼ・ディ・サルーム),Member Favorites: 4,https://cdn.myanimelist.net/images/characters/2/541052.jpg
1063,9,Lv2 kara Cheat datta Motoyuusha Kouho no Mattari Isekai Life,Chillin' in Another World with Level 2 Super Cheat Powers,Tsuya  (ツーヤ),Member Favorites: 2,https://cdn.myanimelist.net/images/characters/2/535543.jpg
1064,10,"Maou Gakuin no Futekigousha II: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou Part 2",The Misfit of Demon King Academy II Part 2,Golroana Delo Jiordal (ゴルロアナ・デロ・ジオルダル),Member Favorites: 42,https://cdn.myanimelist.net/images/characters/2/528288.jpg
1065,11,"Maou no Ore ga Dorei Elf wo Yome ni Shitanda ga, Dou Medereba Ii?",An Archdemon's Dilemma: How to Love Your Elf Bride,Kimaris  (キメリエス),Member Favorites: 0,https://cdn.myanimelist.net/images/characters/3/548068.jpg
1066,12,Sentai Daishikkaku,Go! Go! Loser Ranger!,Sesera Sakurama (桜間 世々良),Member Favorites: 9,https://cdn.myanimelist.net/images/characters/11/528159.jpg
1067,13,"Tensei Kizoku, Kantei Skill de Nariagaru","As a Reincarnated Aristocrat, I'll Use My Appraisal Skill to Rise in the World",Couran Salamakhia (クラン・サレマキア),Member Favorites: 2,https://cdn.myanimelist.net/images/characters/4/567827.jpg
1068,14,Re:Monster,,Spinel Fean ,Member Favorites: 2,https://cdn.myanimelist.net/images/characters/8/540319.jpg
1069,15,Mahouka Koukou no Rettousei 3rd Season,The Irregular at Magic High School Season 3,Mizuki Shibata (柴田 美月),Member Favorites: 83,https://cdn.myanimelist.net/images/characters/12/549562.jpg
1070,16,Unnamed Memory,,Galen  (ガジェン),Member Favorites: 0,https://cdn.myanimelist.net/images/characters/5/550653.jpg
1071,17,Jiisan Baasan Wakagaeru,Grandpa and Grandma Turn Young Again,Kaoru Saitou (斎藤 薫),Member Favorites: 0,https://cdn.myanimelist.net/images/characters/7/553113.jpg
1072,18,The New Gate,,Kagerou  (カゲロウ),Member Favorites: 1,https://cdn.myanimelist.net/images/characters/9/541455.jpg
1073,19,Yozakura-san Chi no Daisakusen,Mission: Yozakura Family,Sui Aoi (蒼 翠),Member Favorites: 4,https://cdn.myanimelist.net/images/characters/6/543966.jpg
1074,20,Date A Live V,,Reine Murasame (村雨 令音),Member Favorites: 258,https://cdn.myanimelist.net/images/characters/9/209483.jpg
1075,21,Bartender: Kami no Glass,Bartender Glass of God,Gorou Kase (加瀬 五朗),Member Favorites: 0,https://cdn.myanimelist.net/images/characters/12/552547.jpg
1076,22,Yoru no Kurage wa Oyogenai,Jellyfish Can't Swim in the Night,Momoko Yanagi (柳 桃子),Member Favorites: 1,https://cdn.myanimelist.net/images/characters/13/537590.jpg
1077,23,Hananoi-kun to Koi no Yamai,A Condition Called Love,Hananoi-kun's Aunt  (花野井くんの叔母),Member Favorites: 0,https://cdn.myanimelist.net/images/characters/16/555619.jpg
1078,24,Girls Band Cry,,Nana  (ナナ),Member Favorites: 4,https://cdn.myanimelist.net/images/characters/13/548271.jpg
1079,25,Kaii to Otome to Kamikakushi,Mysterious Disappearances,Mari Kuwashima (桑島 麻里),Member Favorites: 1,https://cdn.myanimelist.net/images/characters/3/552608.jpg
1080,26,Kami wa Game ni Ueteiru.,Gods' Game We Play,Merchant  ,Member Favorites: 0,https://cdn.myanimelist.net/images/characters/12/549157.jpg
1081,27,Kuroshitsuji: Kishuku Gakkou-hen,Black Butler: Public School Arc,Tanaka  (タナカ),Member Favorites: 182,https://cdn.myanimelist.net/images/characters/8/101195.jpg
1082,28,Yuru Camp△ Season 3,Laid-Back Camp Season 3,Akari Inuyama (犬山 あかり),Member Favorites: 27,https://cdn.myanimelist.net/images/characters/15/543899.jpg
1083,29,Sasayaku You ni Koi wo Utau,Whisper Me a Love Song,Kyou Amasawa (天沢 キョウ),Member Favorites: 3,https://cdn.myanimelist.net/images/characters/6/551284.jpg
1084,30,Dekisokonai to Yobareta Motoeiyuu wa Jikka kara Tsuihou sareta node Sukikatte ni Ikiru Koto ni Shita,The Banished Former Hero Lives as He Pleases,Silas  (サイラス),Member Favorites: 0,https://cdn.myanimelist.net/images/characters/10/548534.jpg
1085,31,Hibike! Euphonium 3,Sound! Euphonium 3,Yuuko Yoshikawa (吉川 優子),Member Favorites: 111,https://cdn.myanimelist.net/images/characters/8/354303.jpg
1086,32,Kenka Dokugaku,Viral Hit,Mangi Hwang ,Member Favorites: 0,https://cdn.myanimelist.net/images/characters/6/556802.jpg
1087,33,Shuumatsu Train Doko e Iku?,Train to the End of the World,Swan Hermit  (スワン仙人),Member Favorites: 1,https://cdn.myanimelist.net/images/characters/9/546728.jpg
1088,34,The Fable,,Hinako Saba (佐羽 ヒナコ),Member Favorites: 1,https://cdn.myanimelist.net/images/characters/16/564117.jpg
1089,35,"One Room, Hiatari Futsuu, Tenshi-tsuki.","Studio Apartment, Good Lighting, Angel Included",Aoi  (葵),Member Favorites: 0,https://cdn.myanimelist.net/images/characters/11/552178.jpg
1090,36,Blue Archive the Animation,,Yuuka Hayase (早瀬 ユウカ),Member Favorites: 90,https://cdn.myanimelist.net/images/characters/16/469773.jpg
1091,37,Henjin no Salad Bowl,A Salad Bowl of Eccentrics,Yuna Naganawa (永縄 友奈),Member Favorites: 1,https://cdn.myanimelist.net/images/characters/6/538956.jpg
1092,38,Shinigami Bocchan to Kuro Maid 3rd Season,The Duke of Death and His Maid Season 3,Sade  (シャーデー),Member Favorites: 3,https://cdn.myanimelist.net/images/characters/15/523077.jpg
1093,39,Seiyuu Radio no Uraomote,The Many Sides of Voice Actor Radio,Sound Recording Manager  ,Member Favorites: 0,https://cdn.myanimelist.net/images/characters/2/581362.jpg
1094,40,Karasu wa Aruji wo Erabanai,Yatagarasu: The Raven Does Not Choose Its Master,Natsumihiko  (捺美彦),Member Favorites: 0,https://cdn.myanimelist.net/images/characters/11/547588.jpg
1095,41,Vampire Dormitory,,Reiko  (玲子),Member Favorites: 0,https://cdn.myanimelist.net/images/characters/3/574220.jpg
1096,42,Boukyaku Battery (TV),Oblivion Battery,Takasu  (高須),Member Favorites: 0,https://cdn.myanimelist.net/images/characters/4/549916.jpg
1097,43,"Tadaima, Okaeri",,Shuuto Matsuo (松尾 秀人),Member Favorites: 0,https://cdn.myanimelist.net/images/characters/16/545786.jpg
1098,44,Astro Note,,Tasuke Shimotakaido (下高井戸 太助),Member Favorites: 0,https://cdn.myanimelist.net/images/characters/11/548924.jpg
