,year,season,jp_title,img,Japanese,Episodes,Starting,Ending,Producers,Studios,Main Studio,Source,Age Rating,Rating Score,Reviewers,Rating Score Rank,Popularity Rank,Members,Favorites
10,2021,winter,5-toubun no Hanayome ∬,https://cdn.myanimelist.net/images/anime/1775/109514.jpg,五等分の花嫁∬,12,8 Jan 2021,26 Mar 2021,"Pony Canyon, Kodansha, DAX Production, BS11, Nichion, GYAO!, Good Smile Film, MAGNET",Bibury Animation Studios,Bibury Animation Studios,Manga,PG-13 - Teens 13 or older,8.02,460373000000.0,643,279.0,758384,11628
11,2021,winter,SK∞,https://cdn.myanimelist.net/images/anime/1549/119195.jpg,SK∞ エスケーエイト,12,10 Jan 2021,4 Apr 2021,"Aniplex, Movic, ABC Animation",Bones,Bones,Original,PG-13 - Teens 13 or older,8.0,300114000000.0,671,392.0,590843,13450
12,2021,winter,Bungou Stray Dogs Wan!,https://cdn.myanimelist.net/images/anime/1293/111430.jpg,文豪ストレイドッグス わん！,12,13 Jan 2021,31 Mar 2021,Kadokawa,"Bones, Nomad",Bones,Web manga,PG-13 - Teens 13 or older,7.98,5356453564.0,685,1882.0,125754,1164
13,2021,winter,Beastars 2nd Season,https://cdn.myanimelist.net/images/anime/1097/109646.jpg,BEASTARS 2期,12,7 Jan 2021,25 Mar 2021,"Movic, Fuji TV, Bandai, BS Fuji, TOHO animation, Q-Tec, Akita Shoten, Hakuhodo DY Media Partners, Bandai Spirits, Toho Music",Orange,Orange,Manga,R - 17+ (violence & profanity),7.77,244583000000.0,1101,513.0,467473,2275
14,2021,winter,Dragon Quest: Dai no Daibouken (2020),https://cdn.myanimelist.net/images/anime/1499/109126.jpg,ドラゴンクエスト ダイの大冒険,100,3 Oct 2020,22 Oct 2022,"TV Tokyo, Square Enix, Shueisha",Toei Animation,Toei Animation,Manga,PG-13 - Teens 13 or older,7.73,2596225962.0,1218,2613.0,76566,644
15,2021,winter,Wonder Egg Priority,https://cdn.myanimelist.net/images/anime/1079/110751.jpg,ワンダーエッグ・プライオリティ,12,13 Jan 2021,31 Mar 2021,"Aniplex, D.N. Dream Partners",CloverWorks,CloverWorks,Original,R - 17+ (violence & profanity),7.56,355311000000.0,1725,263.0,790421,9204
16,2021,winter,Hataraku Saibou Black,https://cdn.myanimelist.net/images/anime/1837/110799.jpg,はたらく細胞BLACK,13,10 Jan 2021,19 Mar 2021,"Aniplex, Kodansha, Studio Mausu, Tokyo MX, NetEase",LIDENFILMS,LIDENFILMS,Manga,PG-13 - Teens 13 or older,7.52,8291882918.0,1889,1111.0,234437,457
17,2021,winter,"Kumo desu ga, Nani ka?",https://cdn.myanimelist.net/images/anime/1593/113724.jpg,蜘蛛ですが、なにか？,24,8 Jan 2021,3 Jul 2021,"Movic, AT-X, Sammy, Crunchyroll, Kadokawa Media House, NTT Plala, Kadokawa",Millepensee,Millepensee,Light novel,PG-13 - Teens 13 or older,7.45,250373000000.0,2154,502.0,473394,4597
18,2021,winter,Idoly Pride,https://cdn.myanimelist.net/images/anime/1025/111962.jpg,IDOLY PRIDE,12,10 Jan 2021,28 Mar 2021,"Half H.P Studio, F.M.F, CyberAgent, Wicky.Records",Lerche,Lerche,Mixed media,PG-13 - Teens 13 or older,7.41,1980219802.0,2311,2759.0,70276,570
19,2021,winter,Osomatsu-san 3rd Season,https://cdn.myanimelist.net/images/anime/1290/113445.jpg,おそ松さん 第3期,25,13 Oct 2020,30 Mar 2021,"TV Tokyo, Dentsu, Rakuonsha, Avex Pictures, Daiichi Shokai",Pierrot,Pierrot,Manga,R - 17+ (violence & profanity),7.4,84058405.0,2355,4751.0,24097,111
20,2021,winter,Tropical-Rouge! Precure,https://cdn.myanimelist.net/images/anime/1184/110907.jpg,トロピカル～ジュ！プリキュア,46,28 Feb 2021,30 Jan 2022,"ABC Animation, ADK Emotions",Toei Animation,Toei Animation,Original,G - All Ages,7.39,45434543.0,2398,5864.0,14126,147
