Main_Studio;Episodes;Rating Score;Rating Score Rank;Popularity Rank;Members;Favorites;Reviewers
TMS Entertainment;12;7.071;4079;588;417026;3393;2.13498E+11
J.C.Staff;12;7.031;4253;5166;19674;68;47014701
SILVER LINK.;20;7.011;4325;1006;258555;1443;8955889558
Shaft;8;7.001;4392;2785;69348;448;2136221362
Fanworks;12;6.941;4637;5151;19772;172;83778377
Bridge;52;6.901;4827;946;271882;1735;7711877118
Maho Film;12;6.791;5398;1431;176078;636;8253682536
None found;16;6.761;5557;11620;2176;18;218218
SynergySP;12;6.751;5597;1171;222346;934;1.05227E+11
Passione;15;6.731;5752;1958;118917;787;4876448764
Connect;13;6.681;6010;1731;139797;734;4463544635
Tezuka Productions;12;6.521;6940;625;397835;2517;1.93932E+11
asread.;10;6.501;7053;1217;211747;1285;8458784587
Shirogumi;12;6.501;7057;3453;46512;313;1047910479
EMT Squared;12;6.451;7371;1600;155721;623;6030760307
ENGI;12;6.411;7668;643;390257;3194;1.48784E+11
PRA;13;6.401;7682;7390;7965;49;13381338
Pie in the sky;25;6.301;8271;13185;1333;2;153153
Asahi Production;12;6.241;8641;1330;192019;681;7298672986
Bridge;92;6.201;8864;5260;18794;88;49084908
Bee Media;13;6.191;8906;8090;6380;26;23722372
Fanworks;26;5.971;10049;11633;2166;16;323323
ILCA;13;5.911;10410;6012;13302;40;52665266
OLM;51;5.891;10490;12206;1805;10;263263
J.C.Staff;24;5.861;10643;4198;31502;106;71507150
SANZIGEN;13;5.811;10897;4637;25511;107;66856685
Sunrise;26;5.711;11301;2199;101733;501;2763427634
Kachidoki Studio;50;5.711;11323;12330;1729;6;227227
A-1 Pictures;12;8.711;58;423;561012;16574;3.21749E+11
Studio Bind;12;8.641;80;165;1016877;18964;6.36951E+11
Wit Studio;23;8.501;143;314;696160;13233;3.66943E+11
ufotable;7;8.351;237;228;854437;4457;5.14158E+11
Toei Animation;14;8.251;335;1849;128481;1216;4961749617
OLM;12;7.831;972;191;945170;12198;5.00669E+11
Seven Arcs;12;7.801;1026;482;495562;6421;2.27962E+11
SynergySP;12;7.791;1074;1575;158833;1205;6699966999
Toei Animation;100;7.731;1218;2613;76566;644;2596225962
OLM;12;7.691;1332;2126;106049;444;4584845848
Doga Kobo;12;7.551;1780;718;355066;1731;1.64682E+11
P.A. Works;24;7.511;1903;1435;175827;1409;5331953319
Passione;12;7.391;2410;449;525596;3379;2.40094E+11
Toei Animation;46;7.391;2398;5864;14126;147;45434543
SILVER LINK.;12;7.331;2656;396;586008;4327;3.20283E+11
Arvo Animation;12;7.321;2740;1548;162519;776;5651456514
Studio Gokumi;12;7.301;2825;4597;26154;154;75127512
Madhouse;12;7.271;2979;2267;96971;604;3542935429
Doga Kobo;13;7.261;3041;3432;46866;385;1671316713
TMS Entertainment;24;7.201;3380;4767;23963;144;63576357
Madhouse;12;7.151;3608;436;541297;4780;2.24744E+11
LIDENFILMS Kyoto Studio;12;7.121;3795;4234;30935;133;93029302
Sunrise;24;7.071;4072;3442;46606;323;1465614656
Production I.G;12;7.071;4042;1218;211759;1251;7125971259
Tatsunoko Production;51;7.031;4239;8331;5939;57;12421242
J.C.Staff;12;7.031;4253;5166;19674;68;47014701
SILVER LINK.;20;7.011;4325;1006;258555;1443;8955889558
Studio Flad;13;6.931;4677;704;359952;2081;1.74143E+11
Bridge;52;6.901;4827;946;271882;1735;7711877118
Children's Playground Entertainment;12;6.871;5004;781;330263;1456;1.50859E+11
Nippon Animation;12;6.831;5207;5149;19814;46;77317731
Zero-G;12;6.751;5610;3284;50888;356;1655816558
Toei Animation;67;6.741;5669;4694;24776;165;72627262
A-1 Pictures;12;6.721;5786;3617;42845;501;1011910119
Kinema Citrus;13;6.701;5917;7293;8287;45;26682668
Satelight;12;6.511;7044;2148;104922;274;3338833388
PRA;13;6.401;7682;7390;7965;49;13381338
LIDENFILMS;12;6.391;7725;3024;59470;317;1588315883
Sunrise Beyond;13;6.321;8136;4000;34905;134;1122411224
Cyclone Graphics;10;6.321;8132;10238;3262;40;211211
Lerche;12;6.301;8268;4881;22557;52;71947194
Sola Digital Arts;13;6.291;8342;4547;26863;98;52225222
OLM;13;6.291;8324;5495;16755;63;31363136
C2C;12;6.241;8644;4418;28433;96;92729272
Bridge;92;6.201;8864;5260;18794;88;49084908
Hotline;12;6.171;9012;1160;224495;1003;1.08735E+11
LIDENFILMS;12;6.171;8994;4028;34593;154;1097910979
Signal.MD;24;6.031;9800;615;402105;2557;1.41517E+11
AQUA ARIS;12;6.011;9858;15915;634;2;134134
Ascension;13;5.961;10133;14319;979;2;178178
OLM;51;5.891;10490;12206;1805;10;263263
Yumeta Company;12;5.841;10717;3544;44532;183;1349713497
Sublimation;12;5.841;10744;5360;17848;50;34033403
Tatsunoko Production;12;5.841;10716;7846;6871;22;26772677
Sunrise;26;5.711;11301;2199;101733;501;2763427634
Kachidoki Studio;50;5.711;11323;12330;1729;6;227227
SILVER LINK.;12;5.601;11794;3478;45861;243;1283112831
Imagineer;12;5.601;11777;13340;1275;7;144144
EKACHI EPILKA;12;5.311;12641;3826;38607;211;1191911919
Gambit;13;4.671;13530;4655;25226;91;67006700
ufotable;11;8.721;54;77;1566872;24847;9.98409E+11
A-1 Pictures;12;8.711;58;423;561012;16575;3.21749E+11
Wit Studio;23;8.501;143;314;696160;13234;3.66943E+11
Shin-Ei Animation;12;8.381;209;1286;198524;2345;8952189521
Studio Deen;12;8.201;384;1211;213437;5278;9506395063
Bones;12;8.191;407;860;304277;2795;1.35783E+11
CloverWorks;12;8.161;450;135;1158626;21390;7.02667E+11
Science SARU;11;7.791;1071;2440;85979;816;2727327273
CygamesPictures;12;7.751;1163;1790;134461;837;4937049370
Toei Animation;100;7.731;1218;2613;76566;644;2596325963
CloverWorks;12;7.651;1408;1283;198900;1177;7431574315
J.C.Staff;13;7.431;2235;935;274783;1414;1.41691E+11
Yokohama Animation Laboratory;12;7.391;2396;850;307179;1655;1.43011E+11
LIDENFILMS;12;7.351;2609;2506;82154;537;3028630286
Connect;12;7.251;3116;2837;66772;294;2442924429
TMS Entertainment;24;7.201;3380;4767;23963;144;63576357
Madhouse;13;7.171;3514;3130;55517;166;2351623516
asread.;12;7.151;3641;575;424659;4301;1.81011E+11
OZ;12;7.141;3727;985;264261;1433;1.0682E+11
OLM;12;7.131;3763;1338;190993;826;8685886858
Sunrise;24;7.071;4072;3442;46606;323;1465614656
Tatsunoko Production;51;7.031;4239;8331;5939;57;12421242
Maho Film;12;6.951;4587;1437;175179;936;8628286282
Platinum Vision;12;6.901;4844;1392;182456;991;6652366523
Bridge;52;6.901;4827;946;271882;1735;7711877118
Toei Animation;45;6.861;5031;6465;11064;121;34183418
Yumeta Company;24;6.781;5425;4539;26904;148;78767876
Toei Animation;67;6.741;5670;4694;24779;165;72627262
Quad;12;6.701;5888;2981;61385;177;2002220022
LIDENFILMS;13;6.661;6159;5918;13845;74;30123012
