,jp_title,char_name,fav,img,colors
6124,Chainsaw Man,Denji  (デンジ),19479,https://cdn.myanimelist.net/images/characters/3/492407.jpg,"[[204, 223, 248], [164, 203, 253], [82, 117, 195], [95, 118, 148], [43, 75, 138], [18, 46, 109], [41, 43, 67], [5, 14, 62], [3, 3, 7], [23, 24, 26], [40, 40, 38], [20, 74, 169], [92, 134, 224], [53, 126, 234], [242, 244, 252]]"
6125,Chainsaw Man,Makima  (マキマ),16600,https://cdn.myanimelist.net/images/characters/4/489561.jpg,"[[212, 229, 248], [168, 181, 196], [118, 127, 209], [119, 129, 159], [87, 94, 170], [62, 49, 117], [36, 41, 84], [10, 11, 64], [20, 21, 19], [106, 118, 121], [64, 53, 155], [100, 118, 216], [211, 230, 233], [188, 148, 239], [226, 238, 246]]"
6163,Mob Psycho 100 III,Arataka Reigen (霊幻 新隆),39247,https://cdn.myanimelist.net/images/characters/16/308364.jpg,"[[172, 196, 215], [131, 180, 215], [62, 145, 187], [115, 137, 168], [80, 106, 126], [43, 100, 146], [9, 28, 18], [37, 57, 55], [81, 81, 81], [118, 113, 115], [153, 157, 145], [175, 137, 184], [178, 186, 162], [203, 204, 190], [247, 246, 228]]"
6164,Mob Psycho 100 III,Shigeo Kageyama (影山 茂夫),26483,https://cdn.myanimelist.net/images/characters/6/343344.jpg,"[[205, 223, 241], [125, 145, 188], [14, 17, 15], [37, 38, 36], [63, 74, 68], [100, 124, 109], [149, 161, 147], [112, 175, 108], [95, 199, 196], [189, 203, 195], [135, 203, 141], [150, 220, 163], [223, 222, 203], [225, 209, 167], [232, 240, 235]]"
6213,Bocchi the Rock!,Hitori Gotou (後藤 ひとり),15343,https://cdn.myanimelist.net/images/characters/8/491455.jpg,"[[222, 228, 240], [201, 208, 235], [190, 175, 239], [185, 167, 236], [173, 171, 223], [161, 155, 210], [147, 142, 200], [144, 123, 195], [116, 109, 151], [85, 79, 116], [44, 47, 54], [95, 52, 29], [160, 121, 73], [164, 166, 174], [214, 201, 118]]"
6513,Berserk: Ougon Jidai-hen - Memorial Edition,Guts  (ガッツ),83837,https://cdn.myanimelist.net/images/characters/13/284125.jpg,"[[186, 221, 246], [141, 189, 223], [104, 152, 187], [71, 107, 138], [72, 62, 151], [50, 65, 95], [40, 45, 63], [24, 25, 42], [9, 9, 17], [85, 91, 96], [128, 129, 132], [172, 164, 164], [112, 91, 192], [225, 209, 204], [247, 248, 247]]"
6514,Berserk: Ougon Jidai-hen - Memorial Edition,Griffith  (グリフィス),15589,https://cdn.myanimelist.net/images/characters/9/326322.jpg,"[[219, 222, 235], [181, 192, 216], [92, 59, 57], [101, 90, 110], [133, 121, 139], [152, 99, 82], [160, 153, 170], [184, 131, 115], [197, 107, 28], [204, 154, 139], [219, 173, 157], [228, 192, 180], [239, 212, 199], [247, 231, 219], [251, 244, 237]]"
6932,Vinland Saga Season 2,Thorfinn  (トルフィン),30974,https://cdn.myanimelist.net/images/characters/9/309871.jpg,"[[194, 207, 247], [158, 194, 241], [140, 183, 226], [143, 165, 244], [130, 161, 198], [109, 138, 174], [121, 127, 142], [75, 116, 154], [98, 105, 118], [73, 87, 107], [63, 69, 80], [44, 46, 51], [103, 80, 57], [135, 106, 59], [121, 143, 238]]"
6936,Vinland Saga Season 2,Askeladd  (アシェラッド),28184,https://cdn.myanimelist.net/images/characters/14/401940.jpg,"[[183, 216, 226], [148, 169, 176], [124, 148, 162], [115, 139, 153], [77, 104, 110], [13, 13, 12], [27, 23, 22], [16, 39, 30], [32, 46, 44], [52, 49, 45], [50, 72, 72], [72, 81, 82], [111, 113, 107], [95, 144, 145], [145, 150, 147]]"
7150,Trigun Stampede,Vash the Stampede  (ヴァッシュ・ザ・スタンピード),17208,https://cdn.myanimelist.net/images/characters/10/89607.jpg,"[[201, 222, 251], [161, 223, 247], [122, 196, 235], [97, 172, 218], [156, 163, 185], [108, 114, 136], [59, 67, 94], [28, 31, 43], [4, 10, 74], [4, 2, 9], [56, 64, 161], [57, 65, 225], [214, 225, 225], [81, 87, 225], [238, 244, 248]]"
8046,Kono Subarashii Sekai ni Bakuen wo!,Megumin  (めぐみん),41487,https://cdn.myanimelist.net/images/characters/14/349249.jpg,"[[222, 240, 252], [197, 205, 223], [84, 162, 218], [162, 161, 173], [100, 118, 148], [70, 67, 82], [52, 53, 64], [12, 22, 110], [34, 38, 48], [15, 20, 37], [92, 86, 105], [29, 54, 145], [41, 87, 200], [116, 205, 244], [252, 253, 253]]"
8048,Kono Subarashii Sekai ni Bakuen wo!,Kazuma Satou (佐藤 和真),20774,https://cdn.myanimelist.net/images/characters/8/301302.jpg,"[[190, 216, 238], [128, 190, 214], [147, 169, 190], [116, 131, 149], [96, 108, 134], [86, 88, 110], [65, 68, 82], [73, 69, 38], [111, 107, 50], [198, 155, 116], [227, 193, 153], [235, 214, 186], [238, 236, 231], [245, 231, 207], [250, 249, 244]]"
9368,Sousou no Frieren,Frieren  (フリーレン),22759,https://cdn.myanimelist.net/images/characters/7/525105.jpg,"[[232, 241, 253], [178, 197, 225], [124, 186, 215], [78, 122, 144], [50, 71, 99], [26, 27, 30], [50, 52, 59], [87, 83, 83], [113, 108, 115], [139, 136, 144], [169, 165, 171], [68, 54, 187], [204, 189, 194], [242, 231, 237], [251, 249, 251]]"
9829,16bit Sensation: Another Layer,Saber  (セイバー),32380,https://cdn.myanimelist.net/images/characters/6/275276.jpg,"[[226, 230, 241], [180, 212, 236], [153, 180, 215], [118, 144, 193], [79, 104, 170], [47, 70, 135], [46, 39, 73], [34, 8, 12], [83, 25, 20], [141, 76, 77], [159, 136, 145], [195, 120, 90], [224, 151, 114], [234, 184, 150], [241, 216, 193]]"
10250,Ore dake Level Up na Ken,Jin-Woo Sung (성 진우),17628,https://cdn.myanimelist.net/images/characters/2/540692.jpg,"[[172, 210, 243], [129, 157, 200], [122, 129, 140], [89, 96, 106], [19, 15, 15], [44, 37, 39], [61, 47, 49], [74, 66, 65], [76, 48, 54], [142, 106, 89], [191, 153, 122], [199, 166, 139], [211, 200, 198], [234, 231, 223], [254, 254, 254]]"
11113,Ookami to Koushinryou: Merchant Meets the Wise Wolf,Holo  (ホロ),28677,https://cdn.myanimelist.net/images/characters/15/319492.jpg,"[[220, 233, 249], [149, 197, 242], [137, 153, 201], [57, 79, 137], [6, 32, 110], [28, 21, 65], [8, 47, 141], [140, 86, 143], [157, 164, 125], [141, 194, 165], [54, 109, 200], [186, 215, 195], [219, 172, 222], [61, 138, 233], [242, 250, 251]]"
11333,Kuroshitsuji: Kishuku Gakkou-hen,Sebastian Michaelis (セバスチャン・ミカエリス),22327,https://cdn.myanimelist.net/images/characters/6/44160.jpg,"[[166, 174, 184], [141, 151, 161], [111, 126, 145], [91, 101, 119], [75, 76, 87], [6, 6, 8], [11, 10, 13], [19, 19, 22], [28, 27, 33], [39, 39, 45], [53, 52, 58], [65, 65, 71], [196, 203, 211], [219, 226, 233], [243, 248, 252]]"
12668,Sword Art Online Alternative: Gun Gale Online II,Kazuto Kirigaya (桐ヶ谷 和人),40327,https://cdn.myanimelist.net/images/characters/7/204821.jpg,"[[175, 214, 253], [163, 200, 239], [130, 158, 192], [75, 104, 160], [48, 63, 93], [15, 5, 5], [26, 14, 13], [38, 26, 25], [56, 43, 41], [79, 62, 57], [103, 89, 89], [132, 125, 127], [168, 158, 159], [218, 198, 193], [250, 249, 249]]"
