,jp_title,char_name,fav,img,colors
6513,Berserk: Ougon Jidai-hen - Memorial Edition,Guts  (ガッツ),83837,https://cdn.myanimelist.net/images/characters/13/284125.jpg,"[[186, 221, 246], [141, 189, 223], [104, 152, 187], [71, 107, 138], [72, 62, 151], [50, 65, 95], [40, 45, 63], [24, 25, 42], [9, 9, 17], [85, 91, 96], [128, 129, 132], [172, 164, 164], [112, 91, 192], [225, 209, 204], [247, 248, 247]]"
6932,Vinland Saga Season 2,Thorfinn  (トルフィン),30974,https://cdn.myanimelist.net/images/characters/9/309871.jpg,"[[194, 207, 247], [158, 194, 241], [140, 183, 226], [143, 165, 244], [130, 161, 198], [109, 138, 174], [121, 127, 142], [75, 116, 154], [98, 105, 118], [73, 87, 107], [63, 69, 80], [44, 46, 51], [103, 80, 57], [135, 106, 59], [121, 143, 238]]"
6936,Vinland Saga Season 2,Askeladd  (アシェラッド),28184,https://cdn.myanimelist.net/images/characters/14/401940.jpg,"[[183, 216, 226], [148, 169, 176], [124, 148, 162], [115, 139, 153], [77, 104, 110], [13, 13, 12], [27, 23, 22], [16, 39, 30], [32, 46, 44], [52, 49, 45], [50, 72, 72], [72, 81, 82], [111, 113, 107], [95, 144, 145], [145, 150, 147]]"
7010,Bungou Stray Dogs 4th Season,Osamu Dazai (太宰 治),35854,https://cdn.myanimelist.net/images/characters/5/307236.jpg,"[[203, 221, 238], [163, 183, 198], [131, 161, 179], [115, 145, 164], [93, 110, 122], [71, 85, 95], [47, 54, 65], [6, 10, 15], [25, 30, 35], [36, 42, 50], [139, 125, 113], [174, 170, 167], [209, 203, 193], [237, 240, 242], [254, 254, 254]]"
7966,Kimetsu no Yaiba: Katanakaji no Sato-hen,Tanjirou Kamado (竈門 炭治郎),24663,https://cdn.myanimelist.net/images/characters/6/386735.jpg,"[[177, 210, 248], [159, 182, 226], [128, 131, 168], [91, 77, 139], [55, 49, 95], [28, 21, 50], [9, 5, 11], [41, 40, 21], [60, 54, 13], [83, 64, 7], [90, 92, 4], [126, 100, 67], [118, 152, 7], [214, 209, 203], [242, 244, 250]]"
8016,Dr. Stone: New World,Senkuu Ishigami (石神 千空),22822,https://cdn.myanimelist.net/images/characters/8/380950.jpg,"[[206, 222, 238], [185, 202, 218], [172, 193, 234], [160, 179, 215], [140, 161, 200], [128, 146, 173], [107, 122, 158], [92, 106, 148], [81, 96, 114], [57, 70, 120], [42, 54, 87], [15, 22, 41], [153, 174, 150], [80, 158, 250], [236, 247, 254]]"
8046,Kono Subarashii Sekai ni Bakuen wo!,Megumin  (めぐみん),41487,https://cdn.myanimelist.net/images/characters/14/349249.jpg,"[[222, 240, 252], [197, 205, 223], [84, 162, 218], [162, 161, 173], [100, 118, 148], [70, 67, 82], [52, 53, 64], [12, 22, 110], [34, 38, 48], [15, 20, 37], [92, 86, 105], [29, 54, 145], [41, 87, 200], [116, 205, 244], [252, 253, 253]]"
8048,Kono Subarashii Sekai ni Bakuen wo!,Kazuma Satou (佐藤 和真),20774,https://cdn.myanimelist.net/images/characters/8/301302.jpg,"[[190, 216, 238], [128, 190, 214], [147, 169, 190], [116, 131, 149], [96, 108, 134], [86, 88, 110], [65, 68, 82], [73, 69, 38], [111, 107, 50], [198, 155, 116], [227, 193, 153], [235, 214, 186], [238, 236, 231], [245, 231, 207], [250, 249, 244]]"
8484,Vinland Saga Season 2,Thorfinn  (トルフィン),30973,https://cdn.myanimelist.net/images/characters/9/309871.jpg,"[[194, 207, 247], [158, 194, 241], [140, 183, 226], [143, 165, 244], [130, 161, 198], [109, 138, 174], [121, 127, 142], [75, 116, 154], [98, 105, 118], [73, 87, 107], [63, 69, 80], [44, 46, 51], [103, 80, 57], [135, 106, 59], [121, 143, 238]]"
8488,Vinland Saga Season 2,Askeladd  (アシェラッド),28183,https://cdn.myanimelist.net/images/characters/14/401940.jpg,"[[183, 216, 226], [148, 169, 176], [124, 148, 162], [115, 139, 153], [77, 104, 110], [13, 13, 12], [27, 23, 22], [16, 39, 30], [32, 46, 44], [52, 49, 45], [50, 72, 72], [72, 81, 82], [111, 113, 107], [95, 144, 145], [145, 150, 147]]"
