jp_title;char_name;fav;img
Yakusoku no Neverland 2nd Season;Don  (ドン);80;https://cdn.myanimelist.net/images/characters/14/349907.jpg
Yakusoku no Neverland 2nd Season;Anna  (アンナ);61;https://cdn.myanimelist.net/images/characters/4/360050.jpg
Wonder Egg Priority;Ai Ooto (大戸 アイ);3145;https://cdn.myanimelist.net/images/characters/10/431621.jpg
Wonder Egg Priority;Rika Kawai (川井 リカ);1680;https://cdn.myanimelist.net/images/characters/5/441004.jpg
Wonder Egg Priority;Momoe Sawaki (沢木 桃恵);1038;https://cdn.myanimelist.net/images/characters/16/443975.jpg
Wonder Egg Priority;Neiru Aonuma (青沼 ねいる);325;https://cdn.myanimelist.net/images/characters/15/443976.jpg
Wonder Egg Priority;Kaoru Kurita (栗田 薫);110;https://cdn.myanimelist.net/images/characters/14/436500.jpg
Wonder Egg Priority;Frill  (フリル);109;https://cdn.myanimelist.net/images/characters/10/437383.jpg
Wonder Egg Priority;Kotobuki Awano (阿波野 寿);59;https://cdn.myanimelist.net/images/characters/15/435728.jpg
Wonder Egg Priority;Ura-Acca  (裏アカ);55;https://cdn.myanimelist.net/images/characters/15/432382.jpg
Wonder Egg Priority;Koito Nagase (長瀬 小糸);33;https://cdn.myanimelist.net/images/characters/12/430337.jpg
Wonder Egg Priority;Acca  (アカ);21;https://cdn.myanimelist.net/images/characters/12/431556.jpg
5-toubun no Hanayome ∬;Miku Nakano (中野 三玖);21635;https://cdn.myanimelist.net/images/characters/15/507743.jpg
5-toubun no Hanayome ∬;Nino Nakano (中野 二乃);14892;https://cdn.myanimelist.net/images/characters/7/437011.jpg
5-toubun no Hanayome ∬;Itsuki Nakano (中野 五月);7773;https://cdn.myanimelist.net/images/characters/5/437010.jpg
5-toubun no Hanayome ∬;Yotsuba Nakano (中野 四葉);5815;https://cdn.myanimelist.net/images/characters/8/437009.jpg
5-toubun no Hanayome ∬;Ichika Nakano (中野 一花);3791;https://cdn.myanimelist.net/images/characters/12/436646.jpg
5-toubun no Hanayome ∬;Fuutarou Uesugi (上杉 風太郎);1164;https://cdn.myanimelist.net/images/characters/3/554695.jpg
5-toubun no Hanayome ∬;Raiha Uesugi (上杉 らいは);176;https://cdn.myanimelist.net/images/characters/8/384122.jpg
5-toubun no Hanayome ∬;Isanari Uesugi (上杉 勇也);45;https://cdn.myanimelist.net/images/characters/6/378329.jpg
5-toubun no Hanayome ∬;Maruo Nakano (中野 マルオ);26;https://cdn.myanimelist.net/images/characters/8/433653.jpg
5-toubun no Hanayome ∬;Revival's Manager  (店長);3;https://cdn.myanimelist.net/images/characters/12/472104.jpg
SK∞;Reki Kyan (喜屋武 暦);4730;https://cdn.myanimelist.net/images/characters/11/564144.jpg
SK∞;Langa Hasegawa (馳河 ランガ);3116;https://cdn.myanimelist.net/images/characters/4/564145.jpg
SK∞;Miya Chinen (知念 実也);1528;https://cdn.myanimelist.net/images/characters/15/422619.jpg
SK∞;Kaoru Sakurayashiki (桜屋敷 薫);1430;https://cdn.myanimelist.net/images/characters/14/437350.jpg
SK∞;Kojirou Nanjou (南城 虎次郎);457;https://cdn.myanimelist.net/images/characters/13/483440.jpg
SK∞;Ainosuke Shindou (神道 愛之介 [ 愛抱夢（アダム）]);329;https://cdn.myanimelist.net/images/characters/11/436740.jpg
SK∞;Tadashi Kikuchi (菊池 忠);105;https://cdn.myanimelist.net/images/characters/15/422622.jpg
SK∞;Shadow  (シャドウ);73;https://cdn.myanimelist.net/images/characters/15/454085.jpg
SK∞;Carla  (C (カーラ));9;https://cdn.myanimelist.net/images/characters/15/478152.jpg
SK∞;Nanako Hasegawa (馳河 菜々子);8;https://cdn.myanimelist.net/images/characters/11/434398.jpg
Kumo desu ga, Nani ka?;Kumoko  (私);2726;https://cdn.myanimelist.net/images/characters/10/423671.jpg
Kumo desu ga, Nani ka?;Shiraori  (白織);710;https://cdn.myanimelist.net/images/characters/7/471542.jpg
Kumo desu ga, Nani ka?;Ariel  (アリエル);370;https://cdn.myanimelist.net/images/characters/15/347255.jpg
Kumo desu ga, Nani ka?;Sophia Keren (ソフィア・ケレン);109;https://cdn.myanimelist.net/images/characters/11/435366.jpg
Kumo desu ga, Nani ka?;Feirune  (フェイルーン);100;https://cdn.myanimelist.net/images/characters/9/423674.jpg
