,year,season,jp_title,en_title,img,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Theme,Synonyms,Genre,German,Spanish,French
25,2023,winter,Spy Kyoushitsu,Spy Classroom,https://cdn.myanimelist.net/images/anime/1491/132864.jpg,スパイ教室,Spy Classroom,TV,12,Finished Airing,"Jan 5, 2023 to Mar 30, 2023",Winter 2023,Thursdays at 22,"Movic,       AT-X,       Studio Mausu,       BS NTV,       Kadokawa",Sentai Filmworks,feel.,Light novel,"ActionAction,         MysteryMystery",,,23 min. per ep.,PG-13 - Teens 13 or older,"6.401 (scored by 4530745,307 users)
      


1
          indicates a weighted score.","#76772

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1588,"157,225",709,,Spy Room,,,,
26,2023,winter,Sugar Apple Fairy Tale,,https://cdn.myanimelist.net/images/anime/1897/131300.jpg,シュガーアップル・フェアリーテイル,,TV,12,Finished Airing,"Jan 6, 2023 to Mar 24, 2023",Winter 2023,Fridays at 21,"AT-X,       Magic Capsule,       flying DOG,       Crunchyroll,       Kadokawa,       BS Asahi","None found, add some",J.C.Staff,Light novel,"AdventureAdventure,         DramaDrama,         FantasyFantasy,         RomanceRomance",,ShoujoShoujo,22 min. per ep.,PG-13 - Teens 13 or older,"7.471 (scored by 5394253,942 users)
      


1
          indicates a weighted score.","#20772

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1822,"130,878",982,Visual ArtsVisual Arts,,,,,
27,2023,winter,High Card,,https://cdn.myanimelist.net/images/anime/1803/131345.jpg,HIGH CARD,High Card,TV,12,Finished Airing,"Jan 9, 2023 to Mar 27, 2023",Winter 2023,Mondays at 20,"TMS Entertainment,       Sammy,       Kadokawa,       NetEase","None found, add some",Studio Hibari,Mixed media,"ActionAction,         FantasyFantasy","Adult CastAdult Cast,         Organized CrimeOrganized Crime",,23 min. per ep.,R - 17+ (violence & profanity),"7.161 (scored by 4297342,973 users)
      


1
          indicates a weighted score.","#35892

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1841,"128,830",625,,,,,,
28,2023,winter,Kami-tachi ni Hirowareta Otoko 2nd Season,By the Grace of the Gods 2,https://cdn.myanimelist.net/images/anime/1521/131469.jpg,神達に拾われた男,By the Grace of the Gods 2,TV,12,Finished Airing,"Jan 9, 2023 to Mar 27, 2023",Winter 2023,Mondays at 00,"Lantis,       Toei Video,       KlockWorx,       Nikkatsu,       Asmik Ace,       Hobby Japan,       BS Fuji,       Tokyo MX,       Amusement Media Academy,       Crunchyroll,       Hakuhodo,       Exa International,       Bandai Namco Music Live","None found, add some",Maho Film,Light novel,"FantasyFantasy,         Slice of LifeSlice of Life","IsekaiIsekai,         IyashikeiIyashikei,         ReincarnationReincarnation",,23 min. per ep.,PG-13 - Teens 13 or older,"6.811 (scored by 5279052,790 users)
      


1
          indicates a weighted score.","#53012

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1847,"128,473",761,,"The man picked up by the gods 2nd Season, Kamihiro 2nd Season, Kamitachi ni Hirowareta Otoko 2nd Season",,,,
29,2023,winter,Inu ni Nattara Suki na Hito ni Hirowareta.,My Life as Inukai-san's Dog.,https://cdn.myanimelist.net/images/anime/1832/132333.jpg,犬になったら好きな人に拾われた。,My Life as Inukai-san's Dog.,TV,12,Finished Airing,"Jan 7, 2023 to Mar 25, 2023",Winter 2023,Saturdays at 01,"Kodansha,       KlockWorx,       Asmik Ace,       King Records,       WWWave",Sentai Filmworks,Quad,Web manga,"ComedyComedy,         EcchiEcchi",,,12 min. per ep.,R+ - Mild Nudity,"5.051 (scored by 5076450,764 users)
      


1
          indicates a weighted score.","#131592

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1860,"127,883",669,,Inuhiro,,,,
30,2023,winter,Shin Shinka no Mi: Shiranai Uchi ni Kachigumi Jinsei,"The Fruit of Evolution: Before I Knew It, My Life Had It Made Season 2",https://cdn.myanimelist.net/images/anime/1862/128297.jpg,真・進化の実～知らないうちに勝ち組人生～,The Fruit of Evolution,TV,12,Finished Airing,"Jan 14, 2023 to Apr 1, 2023",Winter 2023,Saturdays at 01,"TV Tokyo,       HoriPro,       KlockWorx,       Glovision,       Docomo Anime Store,       Futabasha,       bilibili,       Bushiroad Move","None found, add some",Hotline,Light novel,"AdventureAdventure,         FantasyFantasy,         RomanceRomance","HaremHarem,         IsekaiIsekai",,23 min. per ep.,PG-13 - Teens 13 or older,"5.461 (scored by 4693646,936 users)
      


1
          indicates a weighted score.","#122312

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1995,"116,625",588,,Shinka no Mi 2nd Season,,,,
31,2023,winter,Rougo ni Sonaete Isekai de 8-manmai no Kinka wo Tamemasu,"Saving 80,000 Gold in Another World for My Retirement",https://cdn.myanimelist.net/images/anime/1890/131473.jpg,老後に備えて異世界で８万枚の金貨を貯めます,"Saving 80,000 Gold in Another World for My Retirement",TV,12,Finished Airing,"Jan 8, 2023 to Mar 26, 2023",Winter 2023,Sundays at 02,"Kodansha,       Crunchyroll,       ABC Animation,       DMM.com,       A-Sketch,       ADK Marketing Solutions,       Sankyo","None found, add some",Felix Film,Light novel,,,,23 min. per ep.,PG-13 - Teens 13 or older,"6.941 (scored by 5157551,575 users)
      


1
          indicates a weighted score.","#46432

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#2130,"105,648",314,IsekaiIsekai,Roukin,FantasyFantasy,,,
32,2023,winter,Tsundere Akuyaku Reijou Liselotte to Jikkyou no Endou-kun to Kaisetsu no Kobayashi-san,Endo and Kobayashi Live! The Latest on Tsundere Villainess Lieselotte,https://cdn.myanimelist.net/images/anime/1997/131327.jpg,ツンデレ悪役令嬢リーゼロッテと実況の遠藤くんと解説の小林さん,Endo and Kobayashi Live! The Latest on Tsundere Villainess Lieselotte,TV,12,Finished Airing,"Jan 7, 2023 to Mar 25, 2023",Winter 2023,Saturdays at 01,"Mainichi Broadcasting System,       Movic,       DMM.com,       Nichion,       FuRyu,       DMM pictures,       Kadokawa,       Bit grooove promotion,       Pia,       NetEase,       Three S Studio",Sentai Filmworks,Tezuka Productions,Light novel,"ComedyComedy,         FantasyFantasy,         RomanceRomance","Video GameVideo Game,         VillainessVillainess",,24 min. per ep.,PG-13 - Teens 13 or older,"7.231 (scored by 3850438,504 users)
      


1
          indicates a weighted score.","#32032

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#2198,"101,869",473,,Tsunlise,,,,
33,2023,winter,Revenger,,https://cdn.myanimelist.net/images/anime/1884/131748.jpg,REVENGER (リベンジャー),,TV,12,Finished Airing,"Jan 5, 2023 to Mar 23, 2023",Winter 2023,Thursdays at 21,"Shochiku,       AT-X,       Nitroplus,       flying DOG,       Tokyo MX,       Good Smile Company,       Kansai Telecasting,       Marui Group,       Three S Studio","None found, add some",Ajia-do,Original,"ActionAction,         DramaDrama,         MysteryMystery","Adult CastAdult Cast,         HistoricalHistorical,         Organized CrimeOrganized Crime,         SamuraiSamurai",,23 min. per ep.,R - 17+ (violence & profanity),"6.671 (scored by 2897028,970 users)
      


1
          indicates a weighted score.","#60922

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#2422,"86,847",279,,,,,,
34,2023,winter,Ayakashi Triangle,,https://cdn.myanimelist.net/images/anime/1078/131921.jpg,あやかしトライアングル,,TV,12,Finished Airing,"Jan 10, 2023 to Sep 26, 2023",Winter 2023,Tuesdays at 01,"Aniplex,       Yomiuri Telecasting,       Chugai Mining,       Shueisha,       BS11,       Marui Group,       Studio Tenjin","None found, add some",Connect,Manga,"ActionAction,         ComedyComedy,         RomanceRomance,         SupernaturalSupernatural,         EcchiEcchi","Magical Sex ShiftMagical Sex Shift,         MythologyMythology",ShounenShounen,23 min. per ep.,R+ - Mild Nudity,"6.431 (scored by 2095520,955 users)
      


1
          indicates a weighted score.","#75422

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#2550,"80,110",305,,,,,,
