,year,season,jp_title,en_title,img,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Theme,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Synonyms,Themes,Genre,German,Spanish,French
24,2024,spring,Girls Band Cry,,https://cdn.myanimelist.net/images/anime/1711/140515.jpg,ガールズバンドクライ,,TV,13,Finished Airing,"Apr 6, 2024 to Jun 29, 2024",Spring 2024,Saturdays at 00,agehasprings,"None found, add some",Toei Animation,Original,,MusicMusic,,23 min. per ep.,PG-13 - Teens 13 or older,"8.391 (scored by 3898638,986 users)
      


1
          indicates a weighted score.","#2032

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#2163,"103,528","2,297",,,DramaDrama,,,
25,2024,spring,Kaii to Otome to Kamikakushi,Mysterious Disappearances,https://cdn.myanimelist.net/images/anime/1670/141688.jpg,怪異と乙女と神隠し,Mysterious Disappearances,TV,12,Finished Airing,"Apr 10, 2024 to Jun 26, 2024",Spring 2024,Wednesdays at 22,"AT-X,       flying DOG,       Kansai Telecasting,       Shogakukan,       BS NTV,       Kadokawa,       dugout","None found, add some",Zero-G,Web manga,"MysteryMystery,         SupernaturalSupernatural,         EcchiEcchi",,,23 min. per ep.,PG-13 - Teens 13 or older,"6.771 (scored by 2955029,550 users)
      


1
          indicates a weighted score.","#54662

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#2315,"93,355",284,"Mysteries, Maidens, And Mysterious Disappearances, Totokami",,,,,
26,2024,spring,Kami wa Game ni Ueteiru.,Gods' Game We Play,https://cdn.myanimelist.net/images/anime/1578/141782.jpg,神は遊戯に飢えている。,Gods' Game We Play,TV,13,Finished Airing,"Apr 1, 2024 to Jun 24, 2024",Spring 2024,Mondays at 21,"Pony Canyon,       AT-X,       Ultra Super Pictures,       Sammy,       bilibili,       Crunchyroll,       Kadokawa,       Bit grooove promotion","None found, add some",LIDENFILMS,Light novel,"FantasyFantasy,         SuspenseSuspense",,,23 min. per ep.,PG-13 - Teens 13 or older,"6.271 (scored by 3061830,618 users)
      


1
          indicates a weighted score.","#84682

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#2354,"90,668",256,"Kami wa Yuugi ni Ueteiru., The Ultimate Game-Battles of a Boy and the Gods, Kami wa Game ni Ueteiru.","High Stakes GameHigh Stakes Game,         Strategy GameStrategy Game,         Urban FantasyUrban Fantasy",,,,
27,2024,spring,Kuroshitsuji: Kishuku Gakkou-hen,Black Butler: Public School Arc,https://cdn.myanimelist.net/images/anime/1505/141820.jpg,黒執事 -寄宿学校編-,Black Butler,TV,11,Finished Airing,"Apr 13, 2024 to Jun 22, 2024",Spring 2024,Saturdays at 23,"Aniplex,       Square Enix,       Magic Capsule,       Crunchyroll","None found, add some",CloverWorks,Manga,"ActionAction,         MysteryMystery,         SupernaturalSupernatural",,ShounenShounen,24 min. per ep.,R - 17+ (violence & profanity),"7.861 (scored by 2847028,470 users)
      


1
          indicates a weighted score.","#9092

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#2359,"90,423",688,Black Butler,"HistoricalHistorical,         MythologyMythology,         SchoolSchool",,,,
28,2024,spring,Yuru Camp△ Season 3,Laid-Back Camp Season 3,https://cdn.myanimelist.net/images/anime/1178/142710.jpg,ゆるキャン△ SEASON3,Laid-Back Camp Season 3,TV,12,Finished Airing,"Apr 4, 2024 to Jun 20, 2024",Spring 2024,Thursdays at 23,"Sotsu,       Half H.P Studio,       AT-X,       KlockWorx,       Houbunsha,       MAGES.,       81 Produce,       BS11,       FuRyu,       Sony Music Solutions,       enish","None found, add some",8bit,Manga,,,,23 min. per ep.,PG-13 - Teens 13 or older,"8.011 (scored by 3082330,823 users)
      


1
          indicates a weighted score.","#6532

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#2365,"90,249",526,Yuru Camp 3rd Season,"CGDCTCGDCT,         IyashikeiIyashikei",Slice of LifeSlice of Life,,,
29,2024,spring,Sasayaku You ni Koi wo Utau,Whisper Me a Love Song,https://cdn.myanimelist.net/images/anime/1455/141858.jpg,ささやくように恋を唄う,Whisper Me a Love Song,TV,12,Finished Airing,"Apr 14, 2024 to Dec 29, 2024",Spring 2024,Sundays at 01,"TV Asahi,       NBCUniversal Entertainment Japan,       Yomiuri TV Enterprise,       Contents Seed,       Ichijinsha,       Live Viewing Japan,       Bit grooove promotion,       BS Asahi",Sentai Filmworks,"Yokohama Animation Laboratory,       Cloud Hearts",Manga,"DramaDrama,         Girls LoveGirls Love",SchoolSchool,,23 min. per ep.,PG-13 - Teens 13 or older,"6.671 (scored by 1925319,253 users)
      


1
          indicates a weighted score.","#60622

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#2408,"87,632",781,"Whispering You a Love Song, Sasakoi",,,,,
30,2024,spring,Dekisokonai to Yobareta Motoeiyuu wa Jikka kara Tsuihou sareta node Sukikatte ni Ikiru Koto ni Shita,The Banished Former Hero Lives as He Pleases,https://cdn.myanimelist.net/images/anime/1158/141710.jpg,出来損ないと呼ばれた元英雄は、実家から追放されたので好き勝手に生きることにした,The Banished Former Hero Lives as He Pleases,TV,12,Finished Airing,"Apr 2, 2024 to Jun 18, 2024",Spring 2024,Tuesdays at 02,"MediaNet,       Movic,       KlockWorx,       King Records,       Crunchyroll,       U-NEXT,       TO Books,       Happinet Phantom Studios","None found, add some","Studio Deen,       Marvy Jack",Light novel,"ActionAction,         AdventureAdventure,         FantasyFantasy",,,23 min. per ep.,PG-13 - Teens 13 or older,"5.211 (scored by 3088230,882 users)
      


1
          indicates a weighted score.","#128942

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#2508,"81,898",203,DekiSoko,,,,,
31,2024,spring,Hibike! Euphonium 3,Sound! Euphonium 3,https://cdn.myanimelist.net/images/anime/1216/142086.jpg,響け！ユーフォニアム3,Sound! Euphonium 3,TV,13,Finished Airing,"Apr 7, 2024 to Jun 30, 2024",Spring 2024,Sundays at 17,"Lantis,       Pony Canyon,       Rakuonsha,       ABC Animation,       Heart Company,       Bandai Namco Music Live","None found, add some",Kyoto Animation,Novel,,,,24 min. per ep.,PG-13 - Teens 13 or older,"8.721 (scored by 2974829,748 users)
      


1
          indicates a weighted score.","#532

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#2532,"81,091","1,518",Hibike! Euphonium Third Season,"MusicMusic,         Performing ArtsPerforming Arts,         SchoolSchool",DramaDrama,,,
32,2024,spring,Kenka Dokugaku,Viral Hit,https://cdn.myanimelist.net/images/anime/1594/142521.jpg,喧嘩独学,Viral Hit,TV,12,Finished Airing,"Apr 11, 2024 to Jun 27, 2024",Spring 2024,Thursdays at 00,"Dentsu,       Fuji TV,       GAGA,       Slow Curve,       Fujipacific Music,       BS Fuji,       Crunchyroll,       Line Digital Frontier","None found, add some",Okuruto Noboru,Web manga,,SchoolSchool,,22 min. per ep.,PG-13 - Teens 13 or older,"7.341 (scored by 3493234,932 users)
      


1
          indicates a weighted score.","#26152

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#2538,"80,637",316,"Ssaumdokhak, How to Fight, 싸움독학",,ActionAction,,,
33,2024,spring,Shuumatsu Train Doko e Iku?,Train to the End of the World,https://cdn.myanimelist.net/images/anime/1224/137451.jpg,終末トレインどこへいく？,Train to the End of the World,TV,12,Finished Airing,"Apr 1, 2024 to Jun 24, 2024",Spring 2024,Mondays at 21,"Movic,       AT-X,       flying DOG,       Tokyo MX,       Kadokawa,       DAXEL","None found, add some",EMT Squared,Original,,,,23 min. per ep.,PG-13 - Teens 13 or older,"7.371 (scored by 2915929,159 users)
      


1
          indicates a weighted score.","#25012

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#2605,"77,089",257,Where Does the Doomsday Train Go?,,AdventureAdventure,,,
34,2024,spring,The Fable,,https://cdn.myanimelist.net/images/anime/1254/141155.jpg,ザ・ファブル,The Fable,TV,25,Finished Airing,"Apr 7, 2024 to Sep 29, 2024",Spring 2024,Sundays at 00,"VAP,       Kodansha,       Nippon Television Network,       Audio Planning U","None found, add some",Tezuka Productions,Manga,"ComedyComedy,         SuspenseSuspense",,SeinenSeinen,22 min. per ep.,R - 17+ (violence & profanity),"8.101 (scored by 2654326,543 users)
      


1
          indicates a weighted score.","#5232

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#2614,"76,518",554,,"Adult CastAdult Cast,         Organized CrimeOrganized Crime",,,,
35,2024,spring,"One Room, Hiatari Futsuu, Tenshi-tsuki.","Studio Apartment, Good Lighting, Angel Included",https://cdn.myanimelist.net/images/anime/1833/141321.jpg,ワンルーム、日当たり普通、天使つき。,"Studio Apartment, Good Lighting, Angel Included",TV,12,Finished Airing,"Apr 6, 2024 to Jun 22, 2024",Spring 2024,Saturdays at 22,"Square Enix,       Nippon Columbia,       Nikkatsu,       Kansai Telecasting,       arma bianca,       Bushiroad Move","None found, add some",Okuruto Noboru,Manga,"ComedyComedy,         RomanceRomance,         SupernaturalSupernatural",,ShounenShounen,23 min. per ep.,PG-13 - Teens 13 or older,"7.031 (scored by 3036030,360 users)
      


1
          indicates a weighted score.","#42592

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#2637,"75,451",359,,"HaremHarem,         MythologyMythology,         SchoolSchool",,,,
