,jp_title,en_title,char_name,fav,img
36,Gunjou no Fanfare,Fanfare of Adolescence,Tako Kitami (北見田子),Member Favorites: 0,https://cdn.myanimelist.net/images/characters/7/460939.jpg
37,Build Divide: Code White,Build Divide -#FFFFFF- Code White,Tsubaki Hatouchi (鳩打 椿),Member Favorites: 0,
38,Onipan!,,Kuma  (クマ),Member Favorites: 0,https://cdn.myanimelist.net/images/characters/9/473024.jpg
39,Meitantei Conan: Zero no Tea Time,Detective Conan: Zero's Tea Time,Reiko Tsuruyama (鶴山 麗子),Member Favorites: 0,https://cdn.myanimelist.net/images/characters/12/493372.jpg
40,Kyoukai Senki Part 2,AMAIM Warrior at the Borderline Part 2,Oliver Martin (オリバー・マーティン),Member Favorites: 0,https://cdn.myanimelist.net/images/characters/7/484820.jpg
41,Kaginado Season 2,KAGI-NADO,Yui  (ユイ),"Member Favorites: 3,082",https://cdn.myanimelist.net/images/characters/11/150391.jpg
42,Estab-Life: Great Escape,Establishment in Life,Alga  (アルガ),Member Favorites: 1,https://cdn.myanimelist.net/images/characters/13/464198.jpg
43,Yatogame-chan Kansatsu Nikki Yonsatsume,,Recchiri  (レッチリ),Member Favorites: 0,https://cdn.myanimelist.net/images/characters/4/482898.jpg
44,Jantama Pong☆,Mahjong Soul Pon☆,Osamu Saitou (斎藤 治),Member Favorites: 0,https://cdn.myanimelist.net/images/characters/14/469656.jpg
45,Shadowverse Flame,,Ren Kazamatsuri (風祭 レン),Member Favorites: 2,https://cdn.myanimelist.net/images/characters/7/492009.jpg
46,Yu☆Gi☆Oh! Go Rush!!,,Dinois Velgear (ディノワ・ベルギャー),Member Favorites: 1,https://cdn.myanimelist.net/images/characters/12/514420.jpg
47,Chiikawa,,Poshetto no Yoroi-san  (ポシェットの鎧さん),Member Favorites: 2,https://cdn.myanimelist.net/images/characters/12/506123.jpg
48,Zombie-ga Doeeo Beorin Naui Ttal,My Daughter is a Zombie,Meowmeow Kim (김 애용),Member Favorites: 0,https://cdn.myanimelist.net/images/characters/3/480954.jpg
49,Kidou Senshi Gundam: Tekketsu no Orphans - Tokubetsu-hen,Mobile Suit Gundam: Iron-Blooded Orphans Special Edition,Orga Itsuka (オルガ・イツカ),Member Favorites: 634,https://cdn.myanimelist.net/images/characters/14/301852.jpg
50,Kenda Master Ken (TV),,,,
51,Madtoy Chatty,,,,
52,Dramatic Nounai,,,,
53,One Piece,,Jinbe  (ジンベエ),"Member Favorites: 4,180",https://cdn.myanimelist.net/images/characters/15/307148.jpg
54,Boruto: Naruto Next Generations,,Gaara  (我愛羅),"Member Favorites: 13,088",https://cdn.myanimelist.net/images/characters/10/293375.jpg
55,Meitantei Conan,Case Closed,Shuuichi Akai (赤井 秀一),"Member Favorites: 1,873",https://cdn.myanimelist.net/images/characters/3/208069.jpg
56,Crayon Shin-chan,Shin Chan,Ume Matsuzaka (まつざか 梅),Member Favorites: 8,https://cdn.myanimelist.net/images/characters/11/312257.jpg
57,Dragon Quest: Dai no Daibouken (2020),Dragon Quest: The Adventure of Dai,Vearn  (バーン),Member Favorites: 9,https://cdn.myanimelist.net/images/characters/11/545516.jpg
58,Baraou no Souretsu,Requiem of the Rose King,Joan of Arc  (ジャンヌダルク),Member Favorites: 2,https://cdn.myanimelist.net/images/characters/7/485692.jpg
59,Cue!,,Miharu Yomine (夜峰 美晴),Member Favorites: 4,https://cdn.myanimelist.net/images/characters/5/492085.jpg
60,Digimon Ghost Game,,Piemon  (ピエモン),Member Favorites: 12,https://cdn.myanimelist.net/images/characters/7/170065.jpg
61,Shenmue the Animation,,Yuan  (ユアン),Member Favorites: 1,https://cdn.myanimelist.net/images/characters/8/471741.jpg
62,Delicious Party♡Precure,Delicious Party Pretty Cure,Pam-Pam  (パムパム),Member Favorites: 1,https://cdn.myanimelist.net/images/characters/13/462045.jpg
63,Atasha Kawashiri Kodama da yo: Dangerous Lifehacker no Tadareta Seikatsu,I'm Kodama Kawashiri,Kodama Kawashiri (川尻 こだま),Member Favorites: 13,https://cdn.myanimelist.net/images/characters/11/462080.jpg
64,Sazae-san,Mrs. Sazae,Ikura Namino (波野 イクラ),Member Favorites: 0,https://cdn.myanimelist.net/images/characters/12/568770.jpg
65,Chibi Maruko-chan (1995),Little Miss Maruko,Sueo Maruo (丸尾 末男),Member Favorites: 1,https://cdn.myanimelist.net/images/characters/11/369533.jpg
66,Waccha PriMagi!,,Hughie  (ひゅーい),Member Favorites: 1,https://cdn.myanimelist.net/images/characters/8/466164.jpg
67,Bonobono (TV 2016),Bono Bono,Araiguma-kun no Otousan  (アライグマくんのお父さん),Member Favorites: 0,https://cdn.myanimelist.net/images/characters/6/369480.jpg
68,Ninjala (TV),,Burton  (バートン),Member Favorites: 0,https://cdn.myanimelist.net/images/characters/9/537940.jpg
69,Shikaru Neko,,,,
70,Kamiusagi Rope: Warau Asa ni wa Fukuraitaru tte Maji ssuka!?,,Kanako  (夏菜子),Member Favorites: 0,https://cdn.myanimelist.net/images/characters/15/575733.jpg
71,Shiawase Haitatsu Taneko,,,,
72,Uchuu Nanchara Kotetsu-kun,Space Academy,Niko  (ニコ),Member Favorites: 0,https://cdn.myanimelist.net/images/characters/4/436984.jpg
73,Manul no Yuube,,,,
74,Shin Nippon History,,,,
75,Baempaieosonyeo Dalja,,,,
