,jp_title,en_title,char_name,fav,img
67,Bonobono (TV 2016),Bono Bono,Araiguma-kun no Otousan  (アライグマくんのお父さん),Member Favorites: 0,https://cdn.myanimelist.net/images/characters/6/369480.jpg
68,Shikaru Neko,,,,
69,Mazica Party,,Disco  (ディスコウ),Member Favorites: 0,https://cdn.myanimelist.net/images/characters/14/436833.jpg
70,Okashi na Sabaku no Suna to Manu,,Suna  (スナ),Member Favorites: 0,
71,Kamiusagi Rope: Warau Asa ni wa Fukuraitaru tte Maji ssuka!?,,Kanako  (夏菜子),Member Favorites: 0,https://cdn.myanimelist.net/images/characters/15/575733.jpg
72,Shiawase Haitatsu Taneko,,,,
73,Uchuu Nanchara Kotetsu-kun,Space Academy,Niko  (ニコ),Member Favorites: 0,https://cdn.myanimelist.net/images/characters/4/436984.jpg
74,Manul no Yuube,,,,
75,Shin Nippon History,,,,
76,Kintamani Dog,,,,
77,In:App,,,,
