,year,season,jp_title,en_title,img,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Theme,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Synonyms,Themes,Genre,German,Spanish,French
10,2022,winter,Akebi-chan no Sailor-fuku,Akebi's Sailor Uniform,https://cdn.myanimelist.net/images/anime/1820/120520.jpg,明日ちゃんのセーラー服,Akebi's Sailor Uniform,TV,12,Finished Airing,"Jan 9, 2022 to Mar 27, 2022",Winter 2022,Sundays at 00,"Aniplex,       Shueisha,       BS Asahi","None found, add some",CloverWorks,Web manga,,,SeinenSeinen,23 min. per ep.,PG-13 - Teens 13 or older,"7.651 (scored by 7431574,315 users)
      


1
          indicates a weighted score.","#14082

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1283,"198,900","1,177",,"CGDCTCGDCT,         SchoolSchool",Slice of LifeSlice of Life,,,
11,2022,winter,Karakai Jouzu no Takagi-san 3,Teasing Master Takagi-san 3,https://cdn.myanimelist.net/images/anime/1861/120361.jpg,からかい上手の高木さん3,Teasing Master Takagi-san 3,TV,12,Finished Airing,"Jan 8, 2022 to Mar 26, 2022",Winter 2022,Saturdays at 01,"Shogakukan-Shueisha Productions,       Magic Capsule,       Asmik Ace,       TOHO animation,       Shogakukan,       Toho Music",Sentai Filmworks,Shin-Ei Animation,Manga,"ComedyComedy,         RomanceRomance",,ShounenShounen,24 min. per ep.,PG-13 - Teens 13 or older,"8.381 (scored by 8952189,521 users)
      


1
          indicates a weighted score.","#2092

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1286,"198,524","2,345","Skilled Teaser Takagi-san 3rd Season, Karakai Jouzu no Takagi-san Third Season","Love Status QuoLove Status Quo,         SchoolSchool",,,,
12,2022,winter,Fantasy Bishoujo Juniku Ojisan to,Life with an Ordinary Guy who Reincarnated into a Total Fantasy Knockout,https://cdn.myanimelist.net/images/anime/1430/120065.jpg,異世界美少女受肉おじさんと,Life with an Ordinary Guy who Reincarnated into a Total Fantasy Knockout,TV,12,Finished Airing,"Jan 12, 2022 to Mar 30, 2022",Winter 2022,Wednesdays at 00,"TV Tokyo,       bilibili,       Cygames,       Bit grooove promotion,       Bushiroad Move,       Music Brains","None found, add some",OLM,Web manga,"AdventureAdventure,         ComedyComedy,         FantasyFantasy",,,23 min. per ep.,PG-13 - Teens 13 or older,"7.131 (scored by 8685886,858 users)
      


1
          indicates a weighted score.","#37632

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1338,"190,993",826,"Fabiniku, Isekai Bishoujo Juniku Ojisan","IsekaiIsekai,         Magical Sex ShiftMagical Sex Shift,         ParodyParody",,,,
13,2022,winter,Koroshi Ai,Love of Kill,https://cdn.myanimelist.net/images/anime/1485/119329.jpg,殺し愛,Love of Kill,TV,12,Finished Airing,"Jan 13, 2022 to Mar 31, 2022",Winter 2022,Thursdays at 00,"Toy's Factory,       Crunchyroll,       Kadokawa Media House,       Kadokawa,       Bit Promotion,       Bit grooove promotion,       A3","None found, add some",Platinum Vision,Manga,"ActionAction,         RomanceRomance",,JoseiJosei,23 min. per ep.,R - 17+ (violence & profanity),"6.901 (scored by 6652366,523 users)
      


1
          indicates a weighted score.","#48442

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1392,"182,456",991,,"Adult CastAdult Cast,         Organized CrimeOrganized Crime",,,,
14,2022,winter,Leadale no Daichi nite,In the Land of Leadale,https://cdn.myanimelist.net/images/anime/1671/120628.jpg,リアデイルの大地にて,In the Land of Leadale,TV,12,Finished Airing,"Jan 5, 2022 to Mar 23, 2022",Winter 2022,Wednesdays at 23,"Lantis,       Crunchyroll,       Kadokawa Media House,       Sun TV,       Kadokawa,       Bandai Namco Arts,       Simplicity","None found, add some",Maho Film,Light novel,"AdventureAdventure,         ComedyComedy,         FantasyFantasy",,,23 min. per ep.,PG-13 - Teens 13 or older,"6.951 (scored by 8628286,282 users)
      


1
          indicates a weighted score.","#45872

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1437,"175,179",936,World of Leadale,"IsekaiIsekai,         ReincarnationReincarnation",,,,
15,2022,winter,Kenja no Deshi wo Nanoru Kenja,She Professed Herself Pupil of the Wise Man,https://cdn.myanimelist.net/images/anime/1583/119223.jpg,賢者の弟子を名乗る賢者,She Professed Herself Pupil of the Wise Man,TV,12,Finished Airing,"Jan 12, 2022 to Mar 30, 2022",Winter 2022,Wednesdays at 00,"DAX Production,       MAGES.,       Kadokawa,       Micro Magazine Publishing,       MAGNET,       Micro House",Funimation,Studio A-CAT,Light novel,"AdventureAdventure,         FantasyFantasy",,,23 min. per ep.,PG-13 - Teens 13 or older,"6.331 (scored by 5476954,769 users)
      


1
          indicates a weighted score.","#81102

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1788,"134,492",645,Kendeshi,"IsekaiIsekai,         Magical Sex ShiftMagical Sex Shift",,,,
16,2022,winter,Princess Connect! Re:Dive Season 2,,https://cdn.myanimelist.net/images/anime/1906/117145.jpg,プリンセスコネクト! Re,,TV,12,Finished Airing,"Jan 11, 2022 to Mar 29, 2022",Winter 2022,Tuesdays at 00,"WOWOW,       Nippon Columbia,       Tokyo MX,       BS11,       Cygames","None found, add some",CygamesPictures,Game,"AdventureAdventure,         ComedyComedy,         FantasyFantasy,         GourmetGourmet",,,23 min. per ep.,PG-13 - Teens 13 or older,"7.751 (scored by 4937049,370 users)
      


1
          indicates a weighted score.","#11632

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1790,"134,461",837,Princess Connect! Re,,,,,
17,2022,winter,Orient,,https://cdn.myanimelist.net/images/anime/1576/119361.jpg,オリエント,Orient,TV,12,Finished Airing,"Jan 6, 2022 to Mar 24, 2022",Winter 2022,Thursdays at 00,"TV Tokyo,       Kodansha,       AT-X,       Avex Pictures,       bilibili,       Crunchyroll","None found, add some",A.C.G.T.,Manga,"ActionAction,         AdventureAdventure,         FantasyFantasy",,ShounenShounen,23 min. per ep.,PG-13 - Teens 13 or older,"6.611 (scored by 4293342,933 users)
      


1
          indicates a weighted score.","#64432

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1929,"121,289",519,,"HistoricalHistorical,         SamuraiSamurai",,,,
18,2022,winter,Heike Monogatari,The Heike Story,https://cdn.myanimelist.net/images/anime/1282/119979.jpg,平家物語,The Heike Story,TV,11,Finished Airing,"Jan 13, 2022 to Mar 24, 2022",Winter 2022,Thursdays at 01,"Dentsu,       Pony Canyon,       Fuji TV,       Asmik Ace,       BS Fuji,       bilibili",Funimation,Science SARU,Book,"DramaDrama,         SupernaturalSupernatural",,,23 min. per ep.,PG-13 - Teens 13 or older,"7.791 (scored by 2727327,273 users)
      


1
          indicates a weighted score.","#10712

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#2440,"85,979",816,,"HistoricalHistorical,         SamuraiSamurai",,,,
19,2022,winter,Ryman's Club,Salaryman's Club,https://cdn.myanimelist.net/images/anime/1140/120215.jpg,リーマンズクラブ,Salaryman's Club,TV,12,Finished Airing,"Jan 30, 2022 to Apr 17, 2022",Winter 2022,Sundays at 01,"TV Asahi,       Glovision","None found, add some",LIDENFILMS,Original,,,,23 min. per ep.,PG-13 - Teens 13 or older,"7.351 (scored by 3028630,286 users)
      


1
          indicates a weighted score.","#26092

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#2506,"82,154",537,,"Adult CastAdult Cast,         WorkplaceWorkplace",SportsSports,,,
