,jp_title,char_name,fav,img,colors
8036,Boku no Kokoro no Yabai Yatsu,Anna Yamada (山田 杏奈),2829,https://cdn.myanimelist.net/images/characters/12/485465.jpg,"[[227, 235, 250], [212, 221, 249], [197, 206, 240], [183, 185, 236], [167, 185, 215], [147, 163, 193], [135, 142, 165], [65, 96, 141], [70, 69, 84], [60, 42, 41], [78, 57, 56], [96, 88, 97], [99, 73, 70], [117, 89, 87], [114, 109, 121], [128, 102, 100], [131, 125, 137], [144, 117, 115], [153, 140, 146], [166, 155, 163], [149, 173, 73], [179, 173, 180], [198, 192, 197], [205, 175, 177], [189, 213, 128], [222, 199, 202], [231, 211, 215], [218, 234, 172], [240, 232, 230], [250, 248, 248]]"
8046,Kono Subarashii Sekai ni Bakuen wo!,Megumin  (めぐみん),41487,https://cdn.myanimelist.net/images/characters/14/349249.jpg,"[[224, 243, 252], [193, 218, 248], [155, 184, 231], [114, 152, 212], [64, 135, 199], [98, 125, 163], [26, 104, 158], [85, 97, 127], [70, 80, 103], [37, 64, 97], [51, 56, 66], [41, 43, 53], [8, 15, 97], [11, 29, 63], [30, 33, 43], [12, 17, 32], [65, 52, 63], [75, 67, 78], [101, 84, 96], [132, 121, 130], [5, 21, 134], [32, 45, 143], [162, 159, 168], [38, 68, 186], [197, 190, 195], [44, 82, 215], [219, 214, 218], [81, 180, 229], [115, 213, 247], [253, 253, 253]]"
8048,Kono Subarashii Sekai ni Bakuen wo!,Kazuma Satou (佐藤 和真),20774,https://cdn.myanimelist.net/images/characters/8/301302.jpg,"[[190, 216, 239], [164, 193, 211], [126, 190, 214], [140, 167, 196], [125, 153, 170], [110, 128, 151], [98, 114, 143], [93, 103, 130], [88, 92, 118], [79, 82, 108], [66, 73, 93], [58, 57, 74], [73, 68, 34], [78, 85, 69], [100, 90, 87], [111, 106, 48], [113, 114, 64], [121, 118, 115], [153, 147, 135], [179, 175, 171], [204, 155, 113], [223, 210, 194], [226, 189, 147], [234, 203, 165], [234, 234, 235], [241, 217, 185], [244, 236, 218], [245, 227, 200], [248, 244, 231], [250, 249, 247]]"
8049,Kono Subarashii Sekai ni Bakuen wo!,Aqua  (アクア),11083,https://cdn.myanimelist.net/images/characters/14/282523.jpg,"[[205, 238, 252], [185, 209, 246], [162, 170, 226], [128, 126, 169], [57, 122, 187], [4, 0, 1], [74, 27, 11], [105, 64, 35], [103, 90, 112], [113, 39, 18], [128, 104, 41], [142, 62, 22], [157, 146, 64], [157, 84, 60], [170, 85, 22], [178, 111, 88], [179, 143, 140], [185, 113, 46], [197, 201, 96], [202, 135, 67], [205, 151, 204], [218, 158, 102], [221, 173, 154], [230, 173, 238], [239, 186, 130], [81, 186, 239], [239, 200, 172], [247, 220, 209], [253, 240, 236], [254, 253, 253]]"
8050,Kono Subarashii Sekai ni Bakuen wo!,Lalatina Ford Dustiness (ダスティネス・フォード・ララティーナ / ダクネス),6395,https://cdn.myanimelist.net/images/characters/14/266229.jpg,"[[228, 245, 253], [209, 241, 253], [200, 229, 251], [224, 228, 242], [189, 214, 247], [209, 208, 224], [178, 198, 238], [193, 192, 212], [169, 183, 228], [160, 169, 221], [153, 160, 212], [171, 165, 192], [143, 144, 188], [115, 132, 192], [68, 121, 202], [83, 97, 149], [62, 49, 135], [62, 59, 79], [29, 32, 98], [2, 1, 6], [34, 29, 49], [85, 81, 97], [107, 104, 118], [129, 119, 149], [151, 137, 169], [64, 71, 198], [205, 185, 189], [216, 203, 133], [99, 185, 244], [252, 252, 254]]"
8051,Kono Subarashii Sekai ni Bakuen wo!,Wiz  (ウィズ),1579,https://cdn.myanimelist.net/images/characters/14/339607.jpg,"[[232, 244, 253], [215, 230, 250], [157, 221, 249], [196, 209, 228], [176, 190, 242], [124, 195, 235], [170, 177, 191], [108, 169, 217], [143, 161, 217], [106, 148, 198], [123, 139, 162], [91, 131, 182], [85, 117, 165], [71, 102, 149], [92, 100, 115], [59, 88, 133], [48, 73, 112], [38, 59, 93], [26, 43, 72], [11, 18, 40], [39, 21, 37], [59, 29, 45], [75, 49, 60], [88, 58, 70], [91, 71, 81], [116, 74, 88], [141, 110, 95], [166, 93, 105], [176, 121, 133], [253, 254, 254]]"
8076,Tonikaku Kawaii 2nd Season,Tsukasa Yuzaki (由崎 司),5613,https://cdn.myanimelist.net/images/characters/7/378069.jpg,"[[229, 239, 252], [188, 201, 247], [141, 181, 239], [176, 165, 242], [162, 149, 239], [104, 105, 165], [57, 53, 123], [30, 24, 112], [11, 10, 72], [1, 2, 34], [1, 0, 4], [28, 9, 6], [51, 43, 48], [87, 71, 70], [101, 99, 108], [138, 135, 135], [150, 95, 81], [167, 161, 168], [73, 64, 168], [48, 37, 171], [195, 195, 198], [63, 51, 200], [96, 86, 209], [126, 116, 211], [230, 207, 173], [139, 125, 237], [149, 135, 237], [238, 227, 210], [247, 248, 251], [254, 254, 254]]"
8116,Mahoutsukai no Yome Season 2,Chise Hatori (羽鳥 智世),3794,https://cdn.myanimelist.net/images/characters/15/330649.jpg,"[[171, 201, 252], [143, 171, 247], [86, 102, 118], [11, 93, 137], [38, 54, 81], [20, 28, 115], [10, 17, 89], [11, 16, 32], [34, 60, 19], [48, 98, 43], [93, 122, 45], [38, 46, 143], [19, 28, 143], [153, 153, 153], [57, 159, 58], [23, 152, 162], [98, 167, 80], [71, 169, 161], [176, 167, 49], [75, 92, 180], [175, 176, 181], [27, 36, 184], [206, 203, 204], [26, 189, 219], [30, 35, 227], [105, 132, 232], [59, 67, 239], [13, 236, 242], [68, 229, 247], [249, 251, 252]]"
8117,Mahoutsukai no Yome Season 2,Elias Ainsworth (エリアス・エインズワーズ),3190,https://cdn.myanimelist.net/images/characters/4/278307.jpg,"[[221, 237, 245], [211, 230, 237], [198, 216, 224], [181, 198, 206], [164, 181, 191], [147, 163, 173], [130, 148, 157], [87, 133, 149], [115, 130, 138], [97, 109, 120], [74, 88, 103], [55, 68, 83], [42, 53, 100], [36, 30, 116], [34, 44, 78], [25, 23, 84], [25, 32, 59], [13, 17, 46], [5, 1, 9], [10, 6, 14], [22, 16, 25], [38, 27, 34], [47, 35, 42], [64, 47, 68], [89, 72, 92], [113, 88, 112], [44, 37, 149], [228, 244, 249], [240, 252, 253], [252, 253, 254]]"
8712,Jujutsu Kaisen 2nd Season,Touji Fushiguro (伏黒 甚爾),7117,https://cdn.myanimelist.net/images/characters/2/517123.jpg,"[[154, 177, 199], [152, 175, 197], [148, 171, 194], [144, 166, 189], [137, 158, 182], [126, 148, 172], [116, 137, 162], [103, 122, 148], [96, 116, 143], [90, 110, 136], [82, 100, 125], [74, 89, 112], [68, 81, 101], [57, 70, 89], [42, 58, 80], [41, 47, 59], [27, 42, 64], [23, 33, 50], [18, 16, 16], [27, 21, 21], [30, 24, 24], [20, 23, 31], [30, 30, 33], [39, 42, 38], [49, 50, 47], [55, 53, 52], [64, 66, 58], [72, 51, 29], [100, 77, 48], [183, 186, 191]]"
