,test,Unnamed: 0,jp_title,en_title,char_name,fav,img,colors
27,27,27,Mushoku Tensei: Isekai Ittara Honki Dasu,Mushoku Tensei: Jobless Reincarnation,Paul Greyrat (パウロ・グレイラット),Member Favorites: 518,https://cdn.myanimelist.net/images/characters/2/457576.jpg,"[[104, 139, 157], [165, 198, 237], [70, 105, 137], [217, 230, 241], [96, 140, 189], [38, 54, 68], [143, 177, 201], [88, 125, 144], [54, 85, 114], [123, 159, 179]]"
28,28,28,Mushoku Tensei: Isekai Ittara Honki Dasu,Mushoku Tensei: Jobless Reincarnation,Zenith Greyrat (ゼニス・グレイラット),Member Favorites: 239,https://cdn.myanimelist.net/images/characters/6/494628.jpg,"[[84, 156, 216], [32, 65, 122], [11, 18, 29], [119, 183, 243], [61, 125, 186], [42, 55, 70], [20, 38, 63], [23, 50, 97], [51, 104, 159], [34, 71, 145]]"
29,29,29,Mushoku Tensei: Isekai Ittara Honki Dasu,Mushoku Tensei: Jobless Reincarnation,Aisha Greyrat (アイシャ・グレイラット),Member Favorites: 204,https://cdn.myanimelist.net/images/characters/16/274691.jpg,"[[247, 249, 250], [84, 84, 113], [157, 166, 190], [9, 9, 23], [99, 95, 148], [205, 231, 248], [55, 53, 82], [202, 203, 219], [121, 122, 175], [154, 172, 231]]"
30,30,30,Dr. Stone: Stone Wars,,Senkuu Ishigami (石神 千空),"Member Favorites: 22,824",https://cdn.myanimelist.net/images/characters/8/380950.jpg,"[[158, 178, 216], [75, 89, 125], [181, 199, 226], [16, 24, 45], [48, 60, 97], [80, 158, 249], [216, 232, 244], [102, 116, 154], [153, 173, 150], [131, 151, 183]]"
31,31,31,Dr. Stone: Stone Wars,,Gen Asagiri (あさぎり ゲン),"Member Favorites: 4,099",https://cdn.myanimelist.net/images/characters/12/398561.jpg,"[[170, 187, 209], [10, 14, 28], [102, 94, 105], [194, 214, 237], [46, 55, 62], [225, 224, 236], [135, 156, 178], [86, 67, 63], [65, 149, 120], [106, 126, 153]]"
32,32,32,Dr. Stone: Stone Wars,,Chrome  (クロム),"Member Favorites: 1,062",https://cdn.myanimelist.net/images/characters/10/387866.jpg,"[[188, 207, 235], [48, 47, 57], [85, 129, 93], [100, 183, 128], [237, 234, 218], [106, 92, 38], [141, 150, 187], [86, 116, 155], [177, 181, 180], [224, 185, 125]]"
33,33,33,Dr. Stone: Stone Wars,,Kohaku  (コハク),Member Favorites: 883,https://cdn.myanimelist.net/images/characters/5/385325.jpg,"[[107, 186, 153], [203, 227, 232], [58, 65, 69], [77, 102, 203], [117, 145, 122], [182, 208, 223], [104, 101, 92], [108, 136, 220], [149, 169, 183], [58, 82, 175]]"
34,34,34,Dr. Stone: Stone Wars,,Taiju Ooki (大木 大樹),Member Favorites: 282,https://cdn.myanimelist.net/images/characters/4/524648.jpg,"[[19, 27, 41], [168, 196, 232], [105, 125, 145], [253, 253, 253], [70, 88, 117], [36, 41, 50], [113, 135, 173], [52, 64, 87], [200, 200, 199], [161, 192, 232]]"
35,35,35,Dr. Stone: Stone Wars,,Yuzuriha Ogawa (小川 杠),Member Favorites: 141,https://cdn.myanimelist.net/images/characters/9/389706.jpg,"[[186, 197, 190], [22, 32, 62], [79, 101, 137], [241, 244, 241], [59, 70, 92], [152, 215, 236], [145, 170, 176], [98, 143, 177], [200, 222, 241], [130, 232, 182]]"
36,36,36,Dr. Stone: Stone Wars,,Ryuusui Nanami (龍水 七海),"Member Favorites: 1,059",https://cdn.myanimelist.net/images/characters/9/508361.jpg,"[[189, 208, 233], [106, 46, 34], [98, 116, 159], [50, 43, 72], [39, 18, 18], [75, 79, 116], [67, 34, 21], [150, 69, 56], [134, 157, 195], [224, 189, 147]]"
